"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","GNI_Constant Prices","GNI_Current Prices","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices"
"G7 Countries, Total","Group","Group","Group","2018-01-02",2014,23349.67,25040.32,20986.81,22438.88,33158.17,35825.86,62602.048,67082.61,24897.43,26309.67,38050.44,40752.88,33959648.915,36100907.22,63071.519,67624.77,469.471,542.16,2913.214,3180.97,26903.794,29695.46,17957.04,19013.77,27415.01,29398.66,9457.97,10384.89,18492.68,19534.98,29103.87,31183.5,89505.842,96778.07
"G7 Countries, Total","Group","Group","Group","2018-01-02",2015,23429.44,23429.44,21670.88,21670.88,32796.01,32796.01,68301.35,68301.35,26499.85,26499.85,38229.45,38229.45,34911289.79,34911289.79,68601.78,68601.78,300.43,300.43,6165.14,6165.14,25391.36,25391.36,19258.9,19258.9,27790.34,27790.34,8531.44,8531.44,19165.96,19165.96,28990.71,28990.71,93692.71,93692.71
"G7 Countries, Total","Group","Group","Group","2018-01-02",2016,25473.65,25241.58,22246.42,22100.26,35501.41,35209.61,77274.149,77209.84,28576.22,28542.18,42179.36,42028.11,35089026.368,35576055.51,77520.491,77459.16,246.342,249.32,11353.633,11383.4,29070.884,28797.3,19046.89,19068.08,29426.32,29354.68,10379.43,10286.6,19315.68,19174.23,30556.93,30292.44,106345.033,106007.14
"Germany","Donor","DAC","EU","2018-01-02",2007,2395.55,2631.71,1513.14,1662.32,3414.35,3750.96,4662.014,5121.65,1487.15,1633.77,3523.03,3870.38,3049626.407,3350294.32,7236.364,7949.81,2574.35,2828.16,12.853,14.12,3951.322,4340.89,1076.02,1182.12,2685.97,2950.8,1609.95,1768.68,1124.46,1235.32,2784.21,3058.69,8613.336,9462.54
"Germany","Donor","DAC","EU","2018-01-02",2008,2551.62,2978.22,1672.99,1952.71,3695.25,4313.07,5567.592,6498.42,1739.93,2030.82,3818.65,4457.05,3128900.64,3652012.12,7764.549,9062.68,2196.957,2564.26,62.869,73.38,4213.704,4918.18,1262.04,1473.03,2963.08,3458.41,1701.04,1985.38,1302.37,1520.11,3129.76,3653.02,9781.296,11416.6
"Germany","Donor","DAC","EU","2018-01-02",2009,2459.16,2819.85,1743.66,1999.41,3712.52,4257.05,6114.488,7011.4,1910.54,2190.78,3865.48,4432.45,2967991.938,3403356.08,6188.719,7096.52,74.231,85.12,60.705,69.61,4345.242,4982.63,1410.63,1617.53,2936.03,3366.68,1525.4,1749.15,1322.41,1516.36,3067.45,3517.36,10459.73,11994.03
"Germany","Donor","DAC","EU","2018-01-02",2010,2679.15,2944.01,1669.81,1834.88,3721.36,4089.25,7191.676,7902.66,2170.83,2385.43,4307.49,4733.32,3055876.42,3357986.75,7312.592,8035.53,120.916,132.87,73.904,81.21,4504.505,4949.83,1606.05,1764.8,3315,3642.72,1708.95,1877.92,1341.25,1473.83,3191.57,3507.07,11696.181,12852.49
"Germany","Donor","DAC","EU","2018-01-02",2011,2539.78,2961.42,1993.99,2325.02,3972.79,4632.35,7255.473,8460.08,2216.76,2584.76,4073.6,4749.86,3124742.002,3643534.48,7492.329,8736.26,236.856,276.18,73.823,86.08,4593.958,5356.68,1557.08,1815.55,3041.81,3546.76,1484.73,1731.21,1513.76,1765.05,3230.77,3767.12,11849.431,13816.76
"Germany","Donor","DAC","EU","2018-01-02",2012,2590.3,2834.98,2063.37,2258.25,3936.53,4308.34,7345.687,8039.46,2364.06,2587.4,4121.56,4510.9,3180242.076,3480604.11,7843.263,8584.03,497.576,544.57,69.387,75.94,3979.611,4355.47,1701.63,1862.35,2918.31,3193.96,1216.68,1331.61,1602.92,1754.32,3144.72,3441.75,11325.298,12394.93
"Germany","Donor","DAC","EU","2018-01-02",2013,2377.61,2740.81,1967.44,2267.98,3764.12,4339.14,8085.099,9320.16,2354.25,2713.85,4140.04,4772.44,3240722.243,3735767.39,8198.705,9451.12,113.606,130.96,120.398,138.79,4144.097,4777.14,1546.13,1782.31,2917.28,3362.9,1371.15,1580.59,1319.92,1521.54,2849.03,3284.26,12229.196,14097.3
"Germany","Donor","DAC","EU","2018-01-02",2014,2456.11,2881.23,2540.11,2979.78,4417,5181.55,9483.365,11124.85,2324.66,2727,4195.14,4921.22,3372503.141,3956253.15,9879.319,11589.34,395.954,464.49,146.076,171.36,4242.518,4976.86,1559.16,1829.03,2902.31,3404.66,1343.15,1575.63,1502.5,1762.57,3066.5,3597.29,13725.883,16101.71
"Germany","Donor","DAC","EU","2018-01-02",2015,2161.7,2161.7,3034.21,3034.21,4479.18,4479.18,14069.35,14069.35,2495.9,2495.9,3860.86,3860.86,3429093.73,3429093.73,14112.97,14112.97,43.62,43.62,3018.56,3018.56,3827.24,3827.24,1602.64,1602.64,2595.62,2595.62,992.98,992.98,1872.48,1872.48,3047.33,3047.33,17896.59,17896.59
"Germany","Donor","DAC","EU","2018-01-02",2016,2808.84,2838.94,3458.53,3495.62,5479.62,5538.4,19421.761,19630.08,3744.01,3784.14,5715.37,5776.62,3499687.69,3537225.48,19427.955,19636.34,6.194,6.26,6515.198,6585.08,5045.225,5099.34,2068.19,2090.37,3541.16,3579.13,1472.97,1488.76,2252.56,2276.72,3819.04,3860,24466.986,24729.42
"Greece","Donor","DAC","EU","2018-01-02",2007,81.15,97.85,24.61,29.68,115.9,139.78,206.642,249.19,39.8,48.01,131.35,158.39,255749.321,308407.94,206.642,249.19,0,0,3.831,4.62,208.666,251.63,22.53,27.18,91.22,110.01,68.69,82.83,13.98,16.86,88.27,106.45,415.308,500.82
"Greece","Donor","DAC","EU","2018-01-02",2008,108.81,143.92,33.54,44.28,148.57,196.41,236.025,312.17,45.63,60.33,165.65,219.1,252227.387,333600.17,236.025,312.17,0,0,22.108,29.24,295.619,390.99,19.63,25.94,116.32,153.86,96.69,127.92,18.84,24.85,120.86,159.77,531.644,703.16
"Greece","Donor","DAC","EU","2018-01-02",2009,79.2,103.86,35.39,46.4,131.57,172.57,226.369,296.94,51.36,67.34,137.42,180.22,245165.587,321595.88,226.369,296.94,0,0,18.944,24.85,236.577,310.33,22.09,28.93,88.95,116.62,66.86,87.69,18.22,23.87,100.79,132.18,462.946,607.27
"Greece","Donor","DAC","EU","2018-01-02",2010,81.39,102.38,25.63,32.18,123.84,155.77,168.34,211.82,23.74,29.84,124.55,156.69,235633.609,296494.04,168.34,211.82,0,0,27.466,34.56,235.162,295.9,4.7,5.87,84.02,105.69,79.32,99.82,12.94,16.23,97.67,122.85,403.502,507.72
"Greece","Donor","DAC","EU","2018-01-02",2011,53.3,70.87,13.87,18.38,86.28,114.7,115.7,153.9,19.99,26.54,80.24,106.69,217676.955,289546.72,115.7,153.9,0,0,19.095,25.4,203.636,270.87,3.92,5.13,50.22,66.72,46.3,61.59,5.66,7.45,60.03,79.76,319.336,424.77
"Greece","Donor","DAC","EU","2018-01-02",2012,49.29,60.32,7.63,9.28,78.75,96.38,87.607,107.31,13.78,16.83,71.34,87.32,204313.68,250263.5,87.607,107.31,0,0,16.328,20,179.688,220.1,3.31,4.01,40.93,50.08,37.62,46.07,4.85,5.88,53.45,65.4,267.295,327.41
"Greece","Donor","DAC","EU","2018-01-02",2013,36.43,44.88,1.84,2.26,59.35,73.14,35.371,43.61,3.56,4.38,52.51,64.72,195860.27,241484.33,35.371,43.61,0,0,17.324,21.36,158.523,195.45,1.18,1.45,36.21,44.63,35.03,43.18,1.18,1.45,43.25,53.29,193.894,239.06
"Greece","Donor","DAC","EU","2018-01-02",2014,41.01,49.58,2.72,3.28,65.2,78.82,38.132,46.1,4.75,5.75,59.59,72.03,194029.894,234576.09,38.132,46.1,0,0,17.61,21.29,166.539,201.34,1.54,1.86,41.04,49.59,39.5,47.73,1.64,1.98,47.43,57.34,204.671,247.44
"Greece","Donor","DAC","EU","2018-01-02",2015,37.17,37.17,2.24,2.24,61.17,61.17,71.88,71.88,3.56,3.56,56.17,56.17,195784.8,195784.8,71.88,71.88,0,0,59.43,59.43,166.82,166.82,1.15,1.15,38.1,38.1,36.95,36.95,1.29,1.29,44.03,44.03,238.7,238.7
"Greece","Donor","DAC","EU","2018-01-02",2016,43.95,43.89,0.81,0.81,74.65,74.54,159.484,159.15,0.61,0.61,67.44,67.35,195242.803,194833.57,159.484,159.15,0,0,146.918,146.61,209.82,209.38,0.15,0.15,47.24,47.18,47.09,47.03,0.2,0.2,49.47,49.41,369.304,368.53
"Hungary","Donor","DAC","EU","2018-01-02",2007,34.84,41.47,15.07,17.93,42.49,50.61,27.746,33.03,21.82,25.96,49.86,59.37,112802.458,134285.71,27.746,33.03,0,0,0,0,59.171,70.44,21.44,25.51,42.68,50.82,21.24,25.31,14.96,17.8,37.63,44.82,86.917,103.47
"Hungary","Donor","DAC","EU","2018-01-02",2008,21.06,27.51,0.13,0.16,30.36,39.66,11.824,15.45,3.62,4.73,33.75,44.11,108913.469,142316.65,11.824,15.45,0,0,0,0,70.016,91.49,3.44,4.49,27.12,35.45,23.68,30.96,0.08,0.1,25.77,33.66,81.84,106.94
"Hungary","Donor","DAC","EU","2018-01-02",2009,19.54,23.15,0.7,0.81,31.67,37.49,24.995,29.6,9.61,11.36,38.39,45.44,103676.129,122778.88,24.995,29.6,0,0,0,0,73.734,87.32,8.86,10.48,31.23,36.96,22.37,26.48,0.53,0.61,27.54,32.6,98.729,116.92
"Hungary","Donor","DAC","EU","2018-01-02",2010,24.81,29.16,0.81,0.94,33.69,39.58,24.145,28.36,6.51,7.64,41.27,48.49,105443.088,123849.06,24.145,28.36,0,0,0,0,73.202,85.98,5.92,6.95,34.37,40.38,28.45,33.43,0.67,0.78,30.03,35.29,97.347,114.34
"Hungary","Donor","DAC","EU","2018-01-02",2011,18.42,22.89,0.58,0.71,31.11,38.64,26.702,33.15,6.73,8.33,32.49,40.35,104470.805,129699.89,26.702,33.15,0,0,0,0,85.848,106.58,6.13,7.59,26.09,32.4,19.96,24.81,0.38,0.46,23.94,29.73,112.55,139.73
"Hungary","Donor","DAC","EU","2018-01-02",2012,23.95,27.5,0.78,0.9,36.33,41.7,18.975,21.77,2.49,2.85,33.24,38.15,104021.825,119342.77,18.975,21.77,0,0,0,0,84.207,96.61,1.85,2.11,22.25,25.52,20.4,23.41,0.63,0.72,26.75,30.7,103.182,118.38
"Hungary","Donor","DAC","EU","2018-01-02",2013,21.63,25.62,0.9,1.03,31.92,37.82,28.861,34.28,1.96,2.29,31.11,36.85,104742.412,124410.53,28.861,34.28,0,0,0,0,79.055,93.9,1.16,1.36,22.8,27.01,21.64,25.65,0.76,0.88,25.35,30.04,107.916,128.18
"Hungary","Donor","DAC","EU","2018-01-02",2014,23.75,27.99,0.81,0.95,36.77,43.35,25.513,30.1,1.21,1.41,34.38,40.56,112071.551,132219.58,25.513,30.1,0,0,8.824,10.41,96.569,113.93,0.65,0.77,24.31,28.66,23.66,27.89,0.39,0.46,27.67,32.61,122.082,144.03
"Hungary","Donor","DAC","EU","2018-01-02",2015,24.98,24.98,3.03,3.03,39.9,39.9,47.34,47.34,3.79,3.79,38.71,38.71,116104.44,116104.44,47.34,47.34,0,0,9.68,9.68,108.21,108.21,1.36,1.36,26,26,24.64,24.64,1.43,1.43,29.57,29.57,155.55,155.55
"Hungary","Donor","DAC","EU","2018-01-02",2016,35.6,35.39,6.31,6.27,58.81,58.48,55.129,54.78,8.22,8.16,57.78,57.43,120679.156,119914.19,55.129,54.78,0,0,9.883,9.82,145.251,144.33,4.91,4.88,40.32,40.08,35.41,35.2,2.83,2.81,39.85,39.63,200.38,199.11
"Iceland","Donor","DAC","Non-EU","2018-01-02",2007,10.9,14.38,9.1,12.02,12.66,16.64,28.271,37.39,11.83,15.63,16.2,21.34,13754.466,18190.9,28.271,37.39,0,0,0,0,8.211,10.86,11.39,15.05,14.94,19.68,3.55,4.63,9.1,12.02,12.51,16.46,36.482,48.25
"Iceland","Donor","DAC","Non-EU","2018-01-02",2008,15.73,16.39,15.57,16.25,19.66,20.48,34.551,36.07,16.94,17.68,20.92,21.78,13036.804,13609.78,34.551,36.07,0,0,0,0,11.82,12.34,15.25,15.91,18.47,19.2,3.22,3.29,15.57,16.25,18.72,19.5,46.371,48.41
"Iceland","Donor","DAC","Non-EU","2018-01-02",2009,14.43,12.26,15.43,13.1,17.94,15.25,29.749,25.27,15.59,13.25,18.34,15.61,12453.432,10578.51,29.749,25.27,0,0,0,0,10.772,9.15,14.21,12.07,16.32,13.86,2.11,1.79,15.43,13.1,17.88,15.19,40.521,34.42
"Iceland","Donor","DAC","Non-EU","2018-01-02",2010,12.62,11.41,12.29,11.1,15.42,13.95,22.98,20.77,13.69,12.36,17.29,15.64,12303.705,11120.52,22.98,20.77,0,0,0,0,8.829,7.98,12.32,11.12,14.93,13.5,2.61,2.38,12.29,11.1,15.17,13.72,31.809,28.75
"Iceland","Donor","DAC","Non-EU","2018-01-02",2011,10.57,10.39,10.38,10.17,12.38,12.17,20.287,19.886,11.23,11,13.45,13.22,13094.308,12836.07,20.455,20.051,0.168,0.165,0.176,0.172,5.633,5.522,10.1,9.89,11.82,11.61,1.72,1.72,10.23,10.02,12.13,11.92,25.92,25.408
"Iceland","Donor","DAC","Non-EU","2018-01-02",2012,11.76,11.08,10.67,10.03,12.8,12.06,22.578,21.2,12.5,11.74,14.86,14,13717.937,12880.65,22.578,21.2,0,0,0.213,0.2,5.24,4.92,10.81,10.15,12.51,11.79,1.7,1.64,10.67,10.03,12.7,11.97,27.818,26.12
"Iceland","Donor","DAC","Non-EU","2018-01-02",2013,15.29,15.01,15.53,15.22,17.46,17.15,30.025,29.41,17.04,16.69,19.33,18.98,15610.324,15290.58,30.025,29.41,0,0,0.316,0.31,5.615,5.5,14.59,14.29,16.35,16.05,1.76,1.76,15.53,15.22,17.38,17.07,35.64,34.91
"Iceland","Donor","DAC","Non-EU","2018-01-02",2014,13.52,14.35,13.88,14.81,16.25,17.28,28.995,30.94,14.49,15.43,17.38,18.42,15845.742,16908.61,28.995,30.94,0,0,2.39,2.55,5.988,6.39,12.21,13.03,14.29,15.17,2.08,2.14,13.88,14.81,16.15,17.17,34.983,37.33
"Iceland","Donor","DAC","Non-EU","2018-01-02",2015,15.08,15.08,13.13,13.13,16.9,16.9,31.04,31.04,14.33,14.33,18.95,18.95,16641.48,16641.48,31.04,31.04,0,0,4.72,4.72,8.82,8.82,12.91,12.91,16.28,16.28,3.37,3.37,13.13,13.13,16.8,16.8,39.86,39.86
"Iceland","Donor","DAC","Non-EU","2018-01-02",2016,14.88,16.75,13.01,14.69,16.73,18.85,42.249,47.68,16.87,19.03,21.31,24,18295.748,20647.67,42.249,47.68,0,0,13.903,15.69,9.774,11.03,12.11,13.67,15.53,17.51,3.42,3.84,12.89,14.54,16.45,18.53,52.023,58.71
"Ireland","Donor","DAC","EU","2018-01-02",2007,485.81,589.15,412.25,499.93,542.34,657.67,679.496,824.08,431.96,523.84,577.98,700.95,178228.28,216152,679.496,824.08,0,0,0.396,0.48,303.492,368.07,383.4,464.97,500.42,606.89,117.02,141.92,411.81,499.4,528.65,641.07,982.988,1192.15
"Ireland","Donor","DAC","EU","2018-01-02",2008,520.32,661.54,479.99,610.3,614.64,781.48,731.979,930.69,462.16,587.61,613.46,779.95,176865.571,224879.56,731.979,930.69,0,0,1.022,1.3,312.362,397.16,414.25,526.69,534.68,679.81,120.43,153.12,463.06,588.77,585.17,744.01,1044.341,1327.85
"Ireland","Donor","DAC","EU","2018-01-02",2009,424.92,494.38,400.8,466.3,503.81,586.16,595.861,693.2,390.07,453.84,502.7,584.9,158725.748,184655,595.861,693.2,0,0,0.464,0.54,268.688,312.58,354.43,412.38,440.3,512.29,85.87,99.91,400.54,466,493.73,574.44,864.549,1005.78
"Ireland","Donor","DAC","EU","2018-01-02",2010,441.68,471.73,372.28,397.61,491.31,524.74,547.88,585.23,392.95,419.71,531.78,568,160329.758,171259.6,547.88,585.23,0,0,0.187,0.2,290.131,309.91,357.29,381.62,465.18,496.86,107.89,115.24,368.79,393.88,476.42,508.84,838.011,895.14
"Ireland","Donor","DAC","EU","2018-01-02",2011,400.3,465.09,344.84,400.68,442.71,514.42,519.604,603.7,369.2,428.97,469.73,545.78,153543.439,178394.05,519.604,603.7,0,0,0.241,0.28,266.696,309.86,331.43,385.09,411.73,478.38,80.3,93.29,340.34,395.44,423.66,492.26,786.3,913.56
"Ireland","Donor","DAC","EU","2018-01-02",2012,383.12,422.33,319.2,351.87,426.43,470.05,486.363,536.17,334.09,368.31,441.05,486.23,156078.187,172061.7,486.363,536.17,0,0,0.118,0.13,246.905,272.19,303.52,334.61,378.93,417.71,75.41,83.1,313.17,345.23,402.53,443.71,733.268,808.36
"Ireland","Donor","DAC","EU","2018-01-02",2013,366.77,423.41,306.7,354.05,411.3,474.79,472.581,545.59,317.83,366.93,431.84,498.55,158605.251,183108.07,472.581,545.59,0,0,0.035,0.04,260.089,300.27,281.88,325.4,368.88,425.83,87,100.43,301.3,347.82,392.26,452.82,732.67,845.86
"Ireland","Donor","DAC","EU","2018-01-02",2014,359.2,409.47,299.04,340.9,398.08,453.81,455.369,519.13,316.53,360.86,423.44,482.73,190771.283,217483.08,455.369,519.13,0,0,0.289,0.33,260.215,296.65,271.4,309.4,348.56,397.34,77.16,87.94,298.32,340.08,381.48,434.88,715.584,815.78
"Ireland","Donor","DAC","EU","2018-01-02",2015,347.76,347.76,276.56,276.56,387.69,387.69,427.46,427.46,297.71,297.71,419.97,419.97,226163.06,226163.06,427.46,427.46,0,0,0.62,0.62,290.86,290.86,256.74,256.74,344.61,344.61,87.87,87.87,271.9,271.9,366.31,366.31,718.32,718.32
"Ireland","Donor","DAC","EU","2018-01-02",2016,352.55,351.99,251.44,251.02,399.66,399.03,427.721,427.01,280.48,280.02,446.32,445.62,252262.583,251843,427.721,427.01,0,0,1.072,1.07,376.206,375.58,239.18,238.78,359.36,358.79,120.18,120.01,250.97,250.55,369.86,369.28,803.927,802.59
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2007,44.61,34.83,43.01,33.61,49.17,38.41,123.043,96.1,42.09,32.88,48.88,38.17,207271.902,161885.3,123.043,96.1,0,0,0,0,19.001,14.84,37.95,29.65,43.35,33.87,5.4,4.22,41.68,32.57,47.1,36.79,142.044,110.94
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2008,45.95,42.21,42.69,39.21,50.9,46.78,129.329,118.66,41.84,38.41,49.14,45.16,216698.905,198822.68,129.329,118.66,0,0,0,0,20.883,19.16,37.44,34.38,44.22,40.63,6.78,6.25,41.67,38.27,48.22,44.31,150.212,137.82
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2009,35.32,30.72,33.86,29.42,39.59,34.46,123.725,107.52,33.15,28.81,39.32,34.22,219554.06,190797.71,123.725,107.52,0,0,0,0,18.849,16.38,29.23,25.4,33.93,29.53,4.7,4.13,33.48,29.09,39.11,34.03,142.574,123.9
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2010,48.04,44.67,44.13,41.04,51.76,48.13,137.317,127.6,49.23,45.77,56.82,52.84,226396.095,210375.3,137.317,127.6,0,0,0,0,18.531,17.22,45.92,42.71,51.99,48.34,6.07,5.63,43.79,40.73,50.64,47.09,155.848,144.82
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2011,9.17,9.11,4.82,4.79,11.9,11.83,190.51,188.19,31.77,31.41,38.72,38.32,239667.97,236749.67,190.51,188.19,0,0,0,0,18.222,18,4.08,4.05,9.87,9.81,5.79,5.76,4.79,4.76,11.32,11.25,208.732,206.19
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2012,13.68,13.04,9.16,8.73,21.39,20.39,164.248,156.3,31.04,29.56,44.51,42.4,262286.566,249595.17,164.248,156.3,0,0,0,0,26.156,24.89,2.87,2.74,12.39,11.82,9.52,9.08,9.15,8.72,20.88,19.9,190.404,181.19
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2013,6.89,7.08,3.78,3.9,9.24,9.5,179.494,186.13,44.59,46.22,50.45,52.22,275648.078,285839,179.494,186.13,0,0,0,0,15.179,15.74,2.18,2.24,6.79,6.96,4.61,4.72,3.73,3.85,8.67,8.91,194.673,201.87
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2014,5.25,5.5,3.09,3.25,7.99,8.37,166.129,175.67,35.96,38.01,40.64,42.9,282777.684,299017.64,166.129,175.67,0,0,0,0,22.63,23.93,1.41,1.48,5.14,5.38,3.73,3.9,3.02,3.18,7.09,7.43,188.759,199.6
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2015,4.06,4.06,2.72,2.72,6.3,6.3,212.97,212.97,55.52,55.52,59.37,59.37,295100.98,295100.98,212.97,212.97,0,0,0,0,19.66,19.66,7.54,7.54,10.46,10.46,2.92,2.92,2.64,2.64,5.8,5.8,232.63,232.63
"Israel","Donor","Non-DAC","Non-EU","2018-01-02",2016,7.11,7.32,5.07,5.22,10.7,10.97,248.373,255.7,74.06,76.31,80.23,82.61,305610.586,314625.86,248.373,255.7,0,0,0,0,92.113,94.83,2.96,3.05,7.7,7.88,4.74,4.83,4.94,5.09,9.93,10.18,340.486,350.53
"Italy","Donor","DAC","EU","2018-01-02",2007,996.12,1109.49,268.72,299.28,1396.68,1555.64,628.974,700.57,262.43,292.27,1406.29,1566.34,1877187.936,2090866.53,1140.489,1270.31,511.515,569.74,30.642,34.13,2424.349,2700.31,233.96,260.57,1122.36,1250.09,888.4,989.52,193.6,215.6,1178.45,1312.56,3053.323,3400.88
"Italy","Donor","DAC","EU","2018-01-02",2008,1055.64,1269.63,246.8,296.85,1407.22,1692.44,788.553,948.4,469.37,564.52,1688.01,2030.14,1856639.833,2232998.7,1528.432,1838.26,739.879,889.86,2.528,3.04,2512.976,3022.38,337.54,405.97,1330.69,1600.39,993.15,1194.42,235.29,283,1284.48,1544.81,3301.529,3970.78
"Italy","Donor","DAC","EU","2018-01-02",2009,725.53,858.94,221.48,262.18,1081,1279.79,591.681,700.48,314.6,372.46,1142.37,1352.46,1758024.296,2081292.3,738.841,874.7,147.16,174.22,0,0,2046.48,2422.79,249.31,295.14,893.92,1058.3,644.61,763.16,205.1,242.8,961.04,1137.79,2638.161,3123.27
"Italy","Donor","DAC","EU","2018-01-02",2010,807.26,911.96,172.87,195.26,1065.9,1204.09,469.103,529.92,253.44,286.31,1201.33,1357.12,1791635.906,2023915.23,672.016,759.14,202.913,229.22,3.063,3.46,1980.487,2237.25,192.45,217.4,933.16,1054.17,740.71,836.77,151.82,171.49,955.62,1079.52,2449.59,2767.17
"Italy","Donor","DAC","EU","2018-01-02",2011,705.17,848.51,216.15,260.11,1082.58,1302.65,876.463,1054.64,257.93,310.36,1027.71,1236.61,1813868.734,2182612.63,1415.044,1702.71,538.581,648.07,435.904,524.52,2180.062,2623.25,175.57,211.26,787.57,947.64,612,736.38,172.3,207.34,872.81,1050.24,3056.525,3677.89
"Italy","Donor","DAC","EU","2018-01-02",2012,619.18,698.24,97.72,110.17,886.75,999.99,551.439,621.86,194.55,219.35,908.01,1023.94,1771832.375,1998100.26,553.337,624,1.898,2.14,218.754,246.69,1873.836,2113.13,132.08,148.93,620.49,699.73,488.41,550.8,88.7,100,687.94,775.79,2425.275,2734.99
"Italy","Donor","DAC","EU","2018-01-02",2013,696.48,821.11,116.92,137.85,1008,1188.35,732.854,864,173.56,204.64,1056.83,1245.98,1746249.737,2058746.68,735.746,867.41,2.892,3.41,342.338,403.6,2173.674,2562.66,130.74,154.14,807.85,952.42,677.11,798.28,96.88,114.22,834.42,983.71,2906.528,3426.66
"Italy","Donor","DAC","EU","2018-01-02",2014,766.49,911.16,163.79,194.71,1080.61,1284.52,1153.44,1371.06,207.09,246.19,1131.12,1344.58,1801539.089,2141436.91,1154.483,1372.3,1.043,1.24,706.621,839.94,2218.343,2636.88,144.94,172.28,808.54,961.09,663.6,788.81,136.79,162.61,883.85,1050.63,3371.783,4007.94
"Italy","Donor","DAC","EU","2018-01-02",2015,731.19,731.19,252.12,252.12,1071.1,1071.1,1748.53,1748.53,382.21,382.21,1206.17,1206.17,1811822.37,1811822.37,1829.36,1829.36,80.83,80.83,983.03,983.03,2174,2174,280.25,280.25,870.3,870.3,590.05,590.05,196.06,196.06,862.32,862.32,3922.53,3922.53
"Italy","Donor","DAC","EU","2018-01-02",2016,766.15,773.03,211.16,213.06,1162.09,1172.55,2271.724,2292.15,249.04,251.28,1180.68,1191.33,1835597.488,1852102.63,2398.692,2420.26,126.968,128.11,1650.4,1665.24,2643.362,2667.13,172.68,174.24,850.98,858.65,678.3,684.41,172.81,174.36,880.5,888.43,4915.086,4959.28
"Japan","Donor","DAC","Non-EU","2018-01-02",2007,1040,1108.99,877.27,935.46,1455.24,1551.76,3938.039,4199.17,1120.75,1195.09,1872.32,1996.52,4242580.392,4523905.77,5418.828,5778.15,1480.789,1578.98,1.594,1.7,1799.664,1919,969.83,1034.13,1568.85,1672.87,599.02,638.74,801.99,855.18,1328.39,1416.48,5737.703,6118.17
"Japan","Donor","DAC","Non-EU","2018-01-02",2008,1460.79,1750.42,1310.95,1570.87,2290.59,2744.72,4269.925,5116.57,1146.05,1373.3,2339.39,2803.25,4207813.702,5042143,5694.199,6823.25,1424.274,1706.68,0.275,0.33,2317.87,2777.46,1166.85,1398.19,2158.03,2585.89,991.18,1187.7,1067.73,1279.43,1976.95,2368.9,6587.795,7894.03
"Japan","Donor","DAC","Non-EU","2018-01-02",2009,1500.32,1982.24,1120.01,1479.74,2021.42,2670.72,5325.056,7035.55,1494.31,1974.28,2701.32,3569.03,3920985.125,5180468.95,4674.64,6176.21,-650.416,-859.34,0.136,0.18,2490.41,3290.37,1394.88,1842.94,2332.99,3082.4,938.11,1239.46,969.14,1280.41,1816.7,2400.24,7815.466,10325.92
"Japan","Donor","DAC","Non-EU","2018-01-02",2010,1918.62,2639.52,1238.92,1704.41,2476.92,3407.62,5203.003,7157.96,2097.5,2885.58,3716.97,5113.61,4091841.704,5629294.92,5333.45,7337.42,130.447,179.46,0.32,0.44,2704.247,3720.33,1830.71,2518.56,3106.23,4273.37,1275.52,1754.81,1076.08,1480.38,2273.74,3128.09,7907.25,10878.29
"Japan","Donor","DAC","Non-EU","2018-01-02",2011,1546.64,2299.34,1092.45,1624.11,2109.46,3136.07,4775.379,7099.41,2240.59,3330.99,3455.77,5137.57,4095505.494,6088662.45,4841.534,7197.76,66.155,98.35,0.478,0.71,2615.524,3888.42,1658.76,2466,2707.08,4024.49,1048.32,1558.49,1010.02,1501.56,1974.8,2935.88,7390.903,10987.83
