Donor,Donor_Group_Type,Donor_DAC_Country,Donor_EU_Country,as_of_date,Time_Period,Africa_Fragile_ODA_Constant Prices,Africa_Fragile_ODA_Current Prices,Africa_Fragile_ODA_National currency,Africa_ODA_Bilateral_Constant Prices,Africa_ODA_Bilateral_Current Prices,Africa_ODA_Bilateral_National currency,Africa_ODA_Constant Prices,Africa_ODA_Current Prices,Africa_ODA_National currency,Bilat_ODA_Ex_Debt_Relief_Constant Prices,Bilat_ODA_Ex_Debt_Relief_Current Prices,Bilat_ODA_Ex_Debt_Relief_National currency,Fragile_State_ODA_Bilateral_Constant Prices,Fragile_State_ODA_Bilateral_Current Prices,Fragile_State_ODA_Bilateral_National currency,Fragile_State_ODA_Constant Prices,Fragile_State_ODA_Current Prices,Fragile_State_ODA_National currency,GNI_Constant Prices,GNI_Current Prices,GNI_National currency,IA_Bilateral_ODA_Constant Prices,IA_Bilateral_ODA_Current Prices,IA_Bilateral_ODA_National currency,IA6_Debt_Relief_Constant Prices,IA6_Debt_Relief_Current Prices,IA6_Debt_Relief_National currency,IA82_In_Donor_Refugee_Cost_Constant Prices,IA82_In_Donor_Refugee_Cost_Current Prices,IA82_In_Donor_Refugee_Cost_National currency,IB_Multilateral_ODA_Constant Prices,IB_Multilateral_ODA_Current Prices,IB_Multilateral_ODA_National currency,LDC_ODA_Bilateral_Constant Prices,LDC_ODA_Bilateral_Current Prices,LDC_ODA_Bilateral_National currency,LDC_ODA_Constant Prices,LDC_ODA_Current Prices,LDC_ODA_Imputed_Multilateral_Constant Prices,LDC_ODA_Imputed_Multilateral_Current Prices,LDC_ODA_Imputed_Multilateral_National currency,LDC_ODA_National currency,SSA_ODA_Bilateral_Constant Prices,SSA_ODA_Bilateral_Current Prices,SSA_ODA_Bilateral_National currency,SSA_ODA_Constant Prices,SSA_ODA_Current Prices,SSA_ODA_National currency,Total_ODA_ONE_Constant Prices,Total_ODA_ONE_Current Prices,Total_ODA_ONE_National currency,Release
Denmark,Donor,DAC,EU,2017-05-16,2007,830.01,897.93,4887.073818,722.56,781.7,4254.48042,1090.81,1180.06,6422.594556,1411.693881,1527.23,8312.101998,687.87,744.18,4050.274068,1097.38,1187.18,6461.345868,293269.353823,317271.16,1726780.015416,1525.656898,1650.52,8983.120152,113.963017,123.29,671.018154,41.697394,45.11,245.515686,842.73844,911.71,4962.072846,661.94,716.12,3897.554712,995.36,1076.78,333.42,360.66,1962.928116,5860.482828,662.14,716.34,3898.752084,998.98,1080.72,5881.926672,2254.432321,2438.94,13274.174844,Preliminary
Denmark,Donor,DAC,EU,2017-05-16,2008,791.93,939.72,4856.0031,699.75,830.31,4290.626925,1051.28,1247.43,6446.094525,1459.869565,1732.26,8951.45355,675.67,801.74,4142.99145,1051.66,1247.91,6448.574925,289034.638938,342964.3,1772268.02025,1540.832971,1828.33,9447.895275,80.963406,96.07,496.441725,40.983142,48.63,251.295525,821.643306,974.95,5038.054125,627.45,744.51,3847.255425,932.68,1106.72,305.23,362.21,1871.720175,5718.9756,639.97,759.37,3924.044475,958.27,1137.07,5875.809225,2281.512871,2707.21,13989.507675,Preliminary
Denmark,Donor,DAC,EU,2017-05-16,2009,812.24,936.42,5006.56953,762.03,878.55,4697.167575,1073.62,1237.75,6617.630375,1622.161143,1870.13,9998.650045,762.29,878.82,4698.61113,1097.44,1265.18,6764.28487,276842.951203,319162.07,1706400.007255,1652.797907,1905.45,10187.488425,30.636764,35.32,188.83838,75.785223,87.37,467.123705,784.507603,904.43,4835.534995,693.12,799.08,4272.28122,956.3,1102.49,263.18,303.41,1622.181565,5894.462785,719.33,829.31,4433.905915,1004.21,1157.73,6189.803445,2406.668746,2774.56,14834.18504,Preliminary
Denmark,Donor,DAC,EU,2017-05-16,2010,774.42,876.46,4927.282828,742.97,840.88,4727.259184,1053.22,1192.01,6701.241818,1821.636859,2061.74,11590.689932,791.35,895.65,5035.16517,1140.59,1290.89,7257.125402,279015.880333,315791.92,1775319.015856,1863.393122,2109,11856.3762,41.756263,47.26,265.686268,131.718657,149.08,838.097944,673.472154,762.24,4285.160832,708.44,801.81,4507.615458,984.55,1114.31,276.11,312.5,1756.8125,6264.427958,688.57,779.3,4381.06874,972.49,1100.63,6187.521734,2495.109013,2823.98,15875.850764,Preliminary
Denmark,Donor,DAC,EU,2017-05-16,2011,781.76,933.98,5006.50639213643,815.46,974.19,5222.0480761423,1094.64,1307.74,7010.00949619102,1794.063769,2143.24493,11488.650123,770.43,920.41,4933.76576413445,1056.15,1261.77,6763.59190818431,287939.532747,343981.61,1843879.022244,1794.980428,2144.34,11494.520136,0.916659,1.09507,5.870013,101.472303,121.222,649.798409,658.602305,786.787,4217.493035,689.57,823.79,4415.84391612033,912.04,1089.57,222.47,265.78,1424.68711203882,5840.53102815916,696.4,831.96,4459.63838412153,943.28,1126.91,6040.68836416461,2452.666074,2930.03193,15706.143158,Preliminary
Denmark,Donor,DAC,EU,2017-05-16,2012,754.65,854.48,4947.3537519926,709.91,803.79,4653.86372099304,1031.46,1167.87,6761.85051298989,1696.30298,1920.598067,11120.070748,724.55,820.38,4749.9181619929,1055.13,1194.68,6917.07773198966,286523.738056,324409.58,1878299.027242,1697.108414,1921.51,11125.350749,0.805434,0.911933,5.280001,126.626681,143.37,830.097963,681.031092,771.081,4464.481882,648.04,733.73,4248.22332699365,886.35,1003.59,238.31,269.86,1562.46241399766,5810.68574099131,644.97,730.25,4228.07447499368,927.18,1049.79,6078.17912099091,2377.334072,2691.679067,15584.55263,Preliminary
Denmark,Donor,DAC,EU,2017-05-16,2013,667.43,785.86,4414.09703403453,604.97,712.33,4001.0863770313,904.25,1064.72,5980.42576804678,1812.334955,2133.949306,11986.179857,633.7,746.17,4191.16227303278,948.12,1116.38,6270.59482204905,291870.305822,343665.19,1930333.005711,1812.819638,2134.52,11989.385388,0.484683,0.570694,3.205531,137.518216,161.922,909.499682,673.433467,792.94,4453.864686,543.32,639.73,3593.29943702811,785.59,924.98,242.27,285.25,1602.22072501253,5195.52016204064,541.81,637.95,3583.30135502803,808.56,952.04,5347.51347604183,2485.768422,2926.889306,16440.044543,Preliminary
Denmark,Donor,DAC,EU,2017-05-16,2014,673.93,799.45,4491.869715,535.58,635.33,3569.728671,831.42,986.27,5541.555249,1795.987162,2130.48,11970.527976,662.88,786.32,4418.096184,986.14,1169.78,6572.642886,295762.637681,350846.82,1971303.027534,1796.181051,2130.71,11971.820277,0.193889,0.23,1.292301,216.01785,256.25,1439.791875,735.556587,872.55,4902.596685,517.33,613.68,3448.083816,758.29,899.51,240.96,285.83,1605.993021,5054.076837,497.61,590.29,3316.662423,756.05,896.86,5039.187282,2531.543749,3003.03,16873.124661,Preliminary
Denmark,Donor,DAC,EU,2017-05-16,2015,545.13,545.13,3666.217302,417.95,417.95,2810.88093,699.19,699.19,4702.332426,1880.38,1880.38,12646.307652,539.77,539.77,3630.169158,845.01,845.01,5683.030254,302768.76,302768.76,2036241.018504,1880.44,1880.44,12646.711176,0.06,0.06,0.403524,396.97,396.97,2669.782038,685.13,685.13,4607.773302,384.12,384.12,2583.360648,609.53,609.53,225.41,225.41,1515.972414,4099.333062,381.82,381.82,2567.892228,630.83,630.83,4242.584082,2565.51,2565.51,17254.080954,Preliminary
Denmark,Donor,DAC,EU,2017-05-16,2016,NA,NA,NA,511.485429078909,511.75,3444.4869,774.347481203042,774.748020132793,5214.6739739098,1698.241568,1699.12,11436.436896,NA,NA,NA,NA,NA,NA,314876.796828,315039.67,2120469.010836,1700.110601,1700.99,11449.023492,1.869033,1.87,12.586596,420.242625,420.46,2830.032168,670.22332,670.57,4513.472556,404.230907546017,404.44,2722.204752,623.230269881036,623.5526419315,218.99936233502,219.1126419315,1474.80337031254,4197.00812231254,434.875056555414,435.1,2928.57108,666.95110616464,667.296093252147,4491.43654446155,2368.464888,2369.69,15949.909452,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2007,4.41,4.32,3.1558334292804,0.09,0.09,0.0657465297766749,6.27,6.15,4.49267953473945,2.684475,2.61,1.906649,0.61,0.6,0.438310198511166,6.73,6.6,4.82141218362283,20624.582852,20052.4,14648.619091,2.684475,2.61,1.906649,0,0,0,0,0,0,13.8955,13.51,9.869285,0.57,0.56,0.409089518610422,5.13,5.03,4.56,4.47,3.26541097890819,3.67450049751861,0.09,0.09,0.0657465297766749,5.07,4.98,3.63797464764268,16.579975,16.12,11.775934,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2008,0,0,0,0,0,0,0,0,0,5.265848,5.86,4.007578,0,0,0,0,0,0,19463.544176,21659.64,14812.746221,5.265848,5.86,4.007578,0,0,0,0,0,0,14.512533,16.15,11.044775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.778381,22.01,15.052353,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2009,0,0,0,0,0,0,0,0,0,3.415363,3.61,2.598796,0,0,0,0,0,0,17544.702162,18544.55,13349.99901,3.415363,3.61,2.598796,0,0,0,0,0,0,14.030426,14.83,10.675939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.445789,18.44,13.274735,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2010,4.18,4.24,3.20174695095949,0.09,0.09,0.0679616098081023,5.8,5.88,4.44015850746269,4.767882,4.91,3.707683,2.16,2.21,1.66883508528785,8.03,8.19,6.18450649253731,17805.727384,18336.47,13846.400255,4.767882,4.91,3.707683,0,0,0,0,0,0,13.449117,13.85,10.458537,1.54,1.58,1.19310381663113,6.18,6.31,4.64,4.73,3.57176015991471,4.76486397654584,0.09,0.09,0.0679616098081023,5.08,5.15,3.88891433901919,18.216999,18.76,14.16622,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2011,3.68,4.18,3.006256,0.48,0.54,0.388368,6,6.78,4.876176,6.384254,7.27,5.228584,1.91,2.18,1.567856,6.66,7.58,5.451536,18507.988191,21075.77,15157.693784,6.384254,7.27,5.228584,0,0,0,0,0,0,14.876103,16.94,12.183248,1.55,1.76,1.265792,5.15,5.86,3.6,4.1,2.94872,4.214512,0.36,0.4,0.28768,4.62,5.22,3.754224,21.260357,24.21,17.411832,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2012,4.45,4.8,3.7344,0.49,0.51,0.39678,6.38,6.87,5.34486,7.918014,8.6,6.6908,3.67,3.97,3.08866,8.96,9.69,7.53882,20115.980485,21848.59,16998.20302,7.918014,8.6,6.6908,0,0,0,0,0,0,13.479037,14.64,11.38992,3.48,3.76,2.92528,6.98,7.55,3.5,3.79,2.94862,5.8739,0.46,0.48,0.37344,4.98,5.36,4.17008,21.397051,23.24,18.08072,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2013,4.47,5.17,3.894044,0.74,0.86,0.647752,6.93,8.03,6.048196,9.831938,11.44,8.616608,3.14,3.65,2.74918,8.79,10.2,7.68264,20842.92642,24251.89,18266.523548,9.831938,11.44,8.616608,0,0,0,0.19767,0.23,0.173236,16.526938,19.23,14.484036,2.7,3.15,2.37258,6.79,7.89,4.09,4.74,3.570168,5.942748,0.58,0.68,0.512176,5.35,6.19,4.662308,26.358876,30.67,23.100644,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2014,5.06,6,4.5222,1.08,1.28,0.964736,7.93,9.37,7.062169,12.645749,14.98,11.290426,3.86,4.59,3.459483,10.35,12.24,9.225288,21844.307177,25876.5,19503.11805,12.645749,14.98,11.290426,0,0,0,0.253253,0.3,0.22611,19.036157,22.55,16.995935,2.59,3.07,2.313859,7.21,8.51,4.62,5.44,4.100128,6.413987,0.94,1.11,0.836607,6.21,7.32,5.517084,31.681906,37.53,28.286361,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2015,3.92,3.92,3.53388,0.49,0.49,0.441735,6.31,6.31,5.688465,15.04,15.04,13.55856,2.67,2.67,2.407005,8.09,8.09,7.293135,22000.22,22000.22,19833.19833,15.04,15.04,13.55856,0,0,0,0.53,0.53,0.477795,18.85,18.85,16.993275,2.02,2.02,1.82103,5.83,5.83,3.81,3.81,3.434715,5.255745,0.29,0.29,0.261435,4.67,4.67,4.210005,33.89,33.89,30.551835,Preliminary
Estonia,Donor,Non-DAC,EU,2017-05-16,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.133482,19.4,17.54342,NA,NA,NA,NA,NA,NA,22358.163747,22669.6,20500.11928,19.133482,19.4,17.54342,0,0,0,2.44593,2.48,2.242664,24.163418,24.5,22.15535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2969,43.9,39.69877,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2007,3266.45,3681.23,2689.138515,4599.67,5183.77,3786.743985,4685.37,5280.32,3857.27376,10050.395858,11326.67,8274.132435,4559.49,5138.47,3753.652335,4703.5,5300.78,3872.21979,0,0,0,10050.395858,11326.67,8274.132435,0,0,0,0,0,0,272.904547,307.56,224.67258,3387.87,3818.06,2789.09283,3462.02,3901.63,74.15,83.57,61.047885,2850.140715,3688.13,4156.47,3036.301335,3769.83,4248.52,3103.54386,10323.300405,11634.23,8498.805015,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2008,3369.17,4078.05,2827.312065,4744.8,5743.1,3981.69123,4813.98,5826.85,4039.755105,10525.111744,12739.52,8832.309216,4787.73,5795.05,4017.708165,4912.42,5945.96,4122.334068,0,0,0,10631.259099,12868,8921.3844,106.147355,128.48,89.075184,0,0,0,271.804315,328.99,228.088767,3706.97,4486.88,3110.753904,3769.33,4562.38,62.36,75.5,52.34415,3163.098054,4065.19,4920.49,3411.375717,4133.3,5002.94,3468.538302,10796.916059,13068.51,9060.397983,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2009,2946.08,3477.52,2497.207112,4676.15,5519.6,3963.62476,4832.54,5704.2,4096.18602,11013.854407,13000.41,9335.594421,4258.91,5027.13,3609.982053,4466.09,5271.72,3785.622132,0,0,0,11148.286969,13159.09,9449.542529,134.432562,158.68,113.948108,0,0,0,357.684822,422.2,303.18182,3307.46,3904.05,2803.498305,3421.01,4038.1,113.55,134.05,96.261305,2899.75961,3937.64,4647.89,3337.649809,4092.14,4830.26,3468.609706,11371.539229,13422.61,9638.776241,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2010,3362.81,3800.38,2869.2869,4875.7,5510.15,4160.16325,4914.87,5554.43,4193.59465,11036.942627,12473.06,9417.1603,4974.63,5621.95,4244.57225,5076.57,5737.16,4331.5558,0,0,0,11056.86973,12495.58,9434.1629,19.927103,22.52,17.0026,0,0,0,222.206662,251.12,189.5956,3909.73,4418.48,3335.9524,3943.03,4456.11,33.3,37.63,28.41065,3364.36305,4175.01,4718.27,3562.29385,4213.53,4761.82,3595.1741,11259.149289,12724.18,9606.7559,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2011,2853.41,3421.15,2460.49108,5022.1,6021.42,4330.605264,5093.73,6107.23,4392.319816,14203.558159,17029.81,12247.839352,4257.53,5104.72,3671.314624,4408.2,5285.3,3801.18776,0,0,0,14216.494133,17045.32,12258.994144,12.935974,15.51,11.154792,0,0,0,287.919261,345.21,248.275032,3288.47,3942.85,2835.69772,3350.05,4016.61,61.58,73.76,53.048192,2888.745912,3752.91,4499.69,3236.177048,3823.83,4584.66,3297.287472,14491.47742,17375.02,12496.114384,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2012,3911.03,4389.74,3415.21772,6355.07,7133.01,5549.48178,6433.35,7220.83,5617.80574,15292.694136,17164.81,13354.22218,5177.97,5811.8,4521.5804,5322.42,5973.9,4647.6942,0,0,0,15299.768143,17172.75,13360.3995,7.074007,7.94,6.17732,0,0,0,272.90166,306.31,238.30918,3339.52,3748.29,2916.16962,3400.19,3816.37,60.67,68.08,52.96624,2969.13586,4308.42,4835.8,3762.2524,4385.87,4922.7,3829.8606,15565.595796,17471.12,13592.53136,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2013,3113.34,3654.08,2752.253056,5053.7,5931.4,4467.53048,5090.58,5974.67,4500.121444,13396.122069,15722.7,11842.33764,4454.27,5227.88,3937.639216,4562.45,5354.83,4033.257956,0,0,0,13396.122069,15722.7,11842.33764,0,0,0,15.582076,18.2883,13.774748,201.45688,236.445,178.090374,3214.03,3772.23,2841.243636,3249.68,3814.06,35.65,41.83,31.506356,2872.749992,3834.88,4500.9,3390.07788,3870.98,4543.26,3421.983432,13597.578949,15959.145,12020.428014,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2014,3641.19,4307.24,3246.366788,5695.51,6737.37,5077.955769,5709.68,6754.09,5090.557633,13854.859624,16389.3,12352.61541,5218.71,6173.36,4652.861432,5236.26,6194.12,4668.508244,0,0,0,13854.859624,16389.3,12352.61541,0,0,0,23.763071,28.11,21.186507,52.243252,61.8,46.57866,3738.69,4422.6,3333.31362,3749.37,4435.23,10.68,12.63,9.519231,3342.832851,4304.01,5091.33,3837.335421,4317.68,5107.48,3849.507676,13907.102876,16451.1,12399.19407,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2015,3262.91,3262.91,2941.513365,5176.41,5176.41,4666.533615,5256.67,5256.67,4738.888005,13545.56,13545.56,12211.32234,4841.29,4841.29,4364.422935,4921.79,4921.79,4436.993685,0,0,0,13545.56,13545.56,12211.32234,0,0,0,0,0,0,124.04,124.04,111.82206,3405.77,3405.77,3070.301655,3463.61,3463.61,57.84,57.84,52.14276,3122.444415,3887.52,3887.52,3504.59928,3967.3,3967.3,3576.52095,13669.6,13669.6,12323.1444,Preliminary
EU Institutions,Donor,Non-DAC,EU,2017-05-16,2016,NA,NA,NA,6075.47940163004,6118.8,5533.23084,6242.83483215662,6287.34874168964,5685.64946710994,15352.838123,15462.31,13982.566933,NA,NA,NA,NA,NA,NA,0,0,0,15352.838123,15462.31,13982.566933,0,0,0,0,0,0,272.328191,274.27,248.022361,4059.37503224033,4088.32,3697.067776,4196.75334648001,4226.67787657254,137.378314239681,138.357876572544,125.117027784551,3822.18480378455,4742.73242071255,4776.55,4319.434165,4908.95198209543,4943.95477334458,4470.81830153551,15625.166314,15736.58,14230.589294,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2007,307.28,321.37,234.760785,218.92,228.97,167.262585,395.8,413.96,302.39778,558.39437,584.05,426.648525,230.2,240.74,175.86057,419,438.21,320.112405,238087.666453,249026.69,181913.997045,558.39437,584.05,426.648525,0,0,0,16.846004,17.62,12.87141,379.838197,397.29,290.220345,198.48,207.58,151.63719,348.4,364.41,149.92,156.83,114.564315,266.201505,194.32,203.24,148.46682,351.05,367.16,268.21038,938.232567,981.34,716.86887,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2008,304.8,346.3,240.08979,228.66,259.76,180.091608,420.17,477.39,330.974487,608.322508,691.04,479.098032,228.18,259.19,179.696427,419.13,476.17,330.128661,234024.601814,265846.42,184311.322986,610.20635,693.18,480.581694,1.883842,2.14,1.483662,22.931815,26.05,18.060465,415.985762,472.55,327.618915,202.56,230.1,159.52833,358.2,406.96,155.64,176.86,122.617038,282.145368,196.24,222.93,154.557369,367.99,418.1,289.86873,1024.30827,1163.59,806.716947,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2009,347.99,388.84,279.226004,278.64,311.32,223.558892,485.73,542.71,389.720051,708.023864,791.1,568.08891,271.78,303.67,218.065427,477.85,533.94,383.422314,212935.442955,237920.27,170850.545887,708.023864,791.1,568.08891,0,0,0,36.774998,41.09,29.506729,446.66989,499.08,358.389348,239.63,267.75,192.271275,403.73,451.11,164.1,183.36,131.670816,323.942091,237.55,265.41,190.590921,419.49,468.7,336.57347,1154.693754,1290.18,926.478258,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2010,392.02,418.1,315.6655,292.83,312.29,235.77895,506.05,539.7,407.4735,786.794264,839.08,633.5054,313.06,333.84,252.0492,544.9,581.13,438.75315,227077.940735,242168.21,182836.99855,786.794264,839.08,633.5054,0,0,0,42.861665,45.71,34.51105,463.095394,493.87,372.87185,265.56,283.19,213.80845,450.58,480.55,185.02,197.36,149.0068,362.81525,266.61,284.32,214.6616,461.26,491.92,371.3996,1249.889658,1332.95,1006.37725,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2011,338.32,388.56,279.452351834189,282.94,324.96,233.711231861329,490.22,563,404.90959975975,730.813087,839.316,603.636067,281.77,323.61,232.740311861906,486.49,558.72,401.831423761577,230506.05225,264729,190393.0968,730.813087,839.316,603.636067,0,0,0,30.5997,35.1428,25.274702,493.458786,566.722,407.586462,239.28,274.81,197.64335188273,400.54,460.01,161.26,185.2,133.195839920969,330.839191803699,234.86,269.74,193.997007884894,416.8,478.68,344.266655795732,1224.271873,1406.038,1011.222529,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2012,368.5,402.78,313.36284,295.92,323.45,251.6441,521.57,570.12,443.55336,730.748125,798.727,621.409606,277.13,302.91,235.66398,499.82,546.31,425.02918,226139.10125,247176.01,192302.93578,730.748125,798.727,621.409606,0,0,0,20.880099,22.8225,17.755905,476.638986,520.979,405.321662,245.21,268.02,208.51956,406.87,444.7,161.66,176.68,137.45704,345.9766,237.51,259.6,201.9688,432.21,472.43,367.55054,1207.387111,1319.706,1026.731268,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2013,382.25,442.57,333.343723938333,280.55,324.83,244.661955954739,511.44,592.11,445.977251917496,710.122616,822.202,619.282546,288.58,334.17,251.696843953437,527.62,610.9,460.129879914878,231570.940019,268120.02,201947.999064,710.122616,822.202,619.282546,0,0,0,18.009536,20.852,15.705726,529.571228,613.154,461.827593,251.57,291.27,219.384563959415,439.48,508.8,187.91,217.53,163.84359596969,383.228159929105,248.72,287.98,216.906535959873,452.75,524.16,394.797311926964,1239.693844,1435.356,1081.110139,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2014,446.19,525.12,395.782944,339.66,399.75,301.291575,609.64,717.46,540.749602,796.670627,937.62,706.684194,340.46,400.7,302.00759,615.02,723.81,545.535597,233786.964249,275149.26,207379.997262,796.670627,937.62,706.684194,0,0,0,13.662746,16.08,12.119496,592.188264,696.96,525.298752,276.2,325.07,245.005259,482.21,567.52,206.01,242.45,182.734565,427.739824,275.36,324.07,244.251559,510.89,601.25,453.162125,1388.858891,1634.58,1231.982946,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2015,362.93,362.93,327.181395,262.42,262.42,236.57163,505.54,505.54,455.74431,697.86,697.86,629.12079,268.16,268.16,241.74624,527.72,527.72,475.73958,233972.27,233972.27,210926.001405,697.86,697.86,629.12079,0,0,0,39.04,39.04,35.19456,590.14,590.14,532.01121,235.75,235.75,212.528625,429.12,429.12,193.37,193.37,174.323055,386.85168,212.73,212.73,191.776095,431.51,431.51,389.006265,1288,1288,1161.132,Preliminary
Finland,Donor,DAC,EU,2017-05-16,2016,NA,NA,NA,171.630615672173,173.19,156.615717,331.975841139503,334.992074122544,302.933332629016,628.74739,634.46,573.742178,NA,NA,NA,NA,NA,NA,236751.962693,238903.02,216040.000986,628.74739,634.46,573.742178,0,0,0,129.017783,130.19,117.730817,418.606665,422.41,381.985363,171.254037151731,172.81,156.272083,297.99601994697,300.703522460086,126.741982795239,127.893522460086,115.654112360656,271.926195360656,135.558357398214,136.79,123.699197,271.31336297102,273.778434860962,247.577838644768,1047.354055,1056.87,955.727541,Preliminary
France,Donor,DAC,EU,2017-05-16,2007,2147.67,2457.78,1795.40829,2456.92,2811.69,2053.939545,4109.51,4702.87,3435.446535,4160.239349,4760.92,3477.85206,1113.61,1274.44,930.97842,2836.91,3246.56,2371.61208,2275309.911145,2603832.99,1902099.999195,5468.862397,6258.49,4571.826945,1308.623048,1497.57,1093.974885,329.757594,377.37,275.668785,3167.724655,3625.1,2648.13555,1028.61,1177.13,859.893465,2391.13,2736.4,1362.52,1559.27,1139.046735,1998.9402,1899.44,2173.72,1587.90246,3362.34,3847.83,2810.839815,7327.964004,8386.02,6125.98761,Preliminary
France,Donor,DAC,EU,2017-05-16,2008,2050.22,2530.96,1754.714568,2156.34,2661.99,1845.557667,3928.25,4849.38,3362.075154,4613.383529,5695.11,3948.419763,925.84,1142.97,792.421101,2715.14,3351.83,2323.823739,2293651.540642,2831457.16,1963049.249028,5402.17992,6668.86,4623.520638,788.796391,973.75,675.100875,301.083278,371.68,257.685744,3433.595248,4238.69,2938.683777,872.96,1077.66,747.141678,2374.13,2930.82,1501.17,1853.16,1284.795828,2031.937506,1640.33,2024.97,1403.911701,3251.06,4013.38,2782.476354,8046.978777,9933.8,6887.10354,Preliminary
France,Donor,DAC,EU,2017-05-16,2009,2500.33,2982.99,2142.085119,2203.62,2628.98,1887.870538,4660.84,5560.5,3992.99505,4846.07844,5781.5,4151.69515,916.95,1093.99,785.594219,3273.67,3905.6,2804.61136,2244505.004709,2677753.95,1922895.111495,6023.965101,7186.75,5160.805175,1177.886661,1405.25,1009.110025,317.427987,378.7,271.94447,4538.708905,5414.8,3888.36788,858.27,1023.94,735.29131400000006,2673.74,3189.84,1815.47,2165.9,1555.33279,2290.624104,1623.96,1937.44,1391.275664,3879.11,4627.88,3323.280628,9384.787345,11196.3,8040.06303,Preliminary
France,Donor,DAC,EU,2017-05-16,2010,2505.68,2873.94,2169.8247,2366.44,2714.2,2049.221,4578.16,5250.99,3964.49745,5735.887609,6578.82,4967.0091,1099.83,1261.46,952.4023,3424.81,3928.13,2965.73815,2272750.452628,2606748.45,1968095.07975,7023.398127,8055.54,6081.9327,1287.510518,1476.72,1114.9236,378.950357,434.64,328.1532,4236.913305,4859.56,3668.9678,932.36,1069.36,807.3668,2854.57,3274.08,1922.21,2204.72,1664.5636,2471.9304,1797.32,2061.45,1556.39475,3840.44,4404.86,3325.6693,9972.800914,11438.38,8635.9769,Preliminary
France,Donor,DAC,EU,2017-05-16,2011,2368.17,2878.24,2070.030208,2790.1,3391.1,2438.87912,4488.33,5455.12,3923.322304,5960.053371,7243.85,5209.77692,1428.55,1736.22,1248.689424,2984.18,3626.87,2608.444904,2327167.589138,2828439.93,2034213.997656,6989.237018,8494.72,6109.402624,1029.183647,1250.87,899.625704,448.798679,545.47,392.302024,3704.557591,4502.52,3238.212384,825.69,1003.55,721.75316,2020.7,2455.92,1195.01,1452.37,1044.544504,1766.297664,1871.87,2275.08,1636.237536,3352.61,4074.75,2930.5602,9664.610962,11746.37,8447.989304,Preliminary
France,Donor,DAC,EU,2017-05-16,2012,1993.48,2265.66,1762.68348,2335.76,2654.66,2065.32548,4048.52,4601.32,3579.82696,5679.099681,6454.59,5021.67102,1025.48,1165.44,906.71232,2637.4,2997.47,2332.03166,2337834.322582,2657069.41,2067200.00098,6976.515444,7929.17,6168.89426,1297.415763,1474.58,1147.22324,446.033411,506.94,394.39932,3606.611342,4099.1,3189.0998,1075.23,1221.99,950.70822,2183.86,2482.01,1108.63,1260.02,980.29556,1931.00378,1419.15,1612.88,1254.82064,2859.5,3249.92,2528.43776,9285.711023,10553.69,8210.77082,Preliminary
France,Donor,DAC,EU,2017-05-16,2013,2246.81,2658.21,2002.163772,2583.58,3056.65,2302.26878,4273.4,5055.85,3808.06622,5159.928409,6104.65,4598.02238,1216.69,1439.5,1084.2314,2957.76,3499.3,2635.67276,2361537.566618,2793907.04,2104370.782528,5748.329212,6800.78,5122.347496,588.400803,696.13,524.325116,382.744102,452.82,341.064024,3835.859665,4538.16,3418.142112,875.38,1035.71,780.096772,2180.85,2580.18,1305.47,1544.47,1163.294804,1943.391576,1747.85,2067.91,1557.549812,3215.34,3804.09,2865.240588,8995.788074,10642.81,8016.164492,Preliminary
