"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","Population_Constant Prices","Population_Current Prices","Population_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"DAC EU Members, Total","Group","Group","Group","2017-05-16",2015,2008,15558.8,NA,NA,11872.03,NA,NA,22509.03,NA,NA,32956.35161,NA,NA,11376.92,NA,NA,22420.96,NA,NA,14791928.121212,NA,NA,38367.154142,NA,NA,5410.802532,NA,NA,1140.977463,NA,NA,22416.543073,NA,NA,9345.44,NA,NA,18394.06,NA,9048.62,NA,NA,NA,0,NA,NA,10066.26,NA,NA,19709.66,NA,NA,55372.894683,NA,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",2015,2009,15606.83,NA,NA,12618.24,NA,NA,23425.48,NA,NA,35362.344944,NA,NA,11980.12,NA,NA,22750.84,NA,NA,14143775.445494,NA,NA,37093.17408,NA,NA,1730.829136,NA,NA,1264.305442,NA,NA,23673.375449,NA,NA,9828.42,NA,NA,18221.86,NA,8393.44,NA,NA,NA,0,NA,NA,10531.57,NA,NA,20206.46,NA,NA,59035.720393,NA,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",2015,2010,16547.92,NA,NA,12208.33,NA,NA,23602.58,NA,NA,37149.280448,NA,NA,12088.21,NA,NA,24237.4,NA,NA,14475011.382014,NA,NA,40331.091657,NA,NA,3181.811209,NA,NA,1495.383489,NA,NA,24466.153669,NA,NA,9627.99,NA,NA,19314.51,NA,9686.52,NA,NA,NA,0,NA,NA,10526.47,NA,NA,20936.07,NA,NA,61615.434117,NA,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",2015,2011,15945.33,NA,NA,13180.36,NA,NA,23680.96,NA,NA,36248.011851,NA,NA,12831.41,NA,NA,22800.51,NA,NA,14742131.638024,NA,NA,38662.96254,NA,NA,2414.950689,NA,NA,2115.361003,NA,NA,24557.300485,NA,NA,9869.03,NA,NA,17744.69,NA,7875.66,NA,NA,NA,0,NA,NA,10905.3,NA,NA,20034.72,NA,NA,60805.312336,NA,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",2015,2012,14925.31,NA,NA,12000.1,NA,NA,21900.5,NA,NA,34518.293669,NA,NA,11734.16,NA,NA,21291.98,NA,NA,14710182.282922,NA,NA,36937.296471,NA,NA,2419.002802,NA,NA,1913.895224,NA,NA,22154.485116,NA,NA,9403.28,NA,NA,16036.82,NA,6633.54,NA,NA,NA,0,NA,NA,9826.4,NA,NA,18074.93,NA,NA,56672.778785,NA,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",2015,2013,16254.43,NA,NA,12487.79,NA,NA,23338.96,NA,NA,36453.553209,NA,NA,12811.1,NA,NA,24093.58,NA,NA,14855783.628329,NA,NA,37528.785825,NA,NA,1075.232616,NA,NA,2164.28233,NA,NA,25548.147187,NA,NA,9399.1,NA,NA,18019.82,NA,8620.72,NA,NA,NA,0,NA,NA,10404.39,NA,NA,19899.46,NA,NA,62001.700396,NA,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",2015,2014,16437.59,NA,NA,12886.95,NA,NA,24174.16,NA,NA,39152.2545,NA,NA,12656.52,NA,NA,24100.12,NA,NA,15340491.852676,NA,NA,39731.644668,NA,NA,579.390168,NA,NA,3694.207554,NA,NA,25588.946965,NA,NA,9440.68,NA,NA,17699.68,NA,8259,NA,NA,NA,0,NA,NA,10463.6,NA,NA,19930.07,NA,NA,64741.201465,NA,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",2015,2015,15883.2,NA,NA,12895.36,NA,NA,23483.72,NA,NA,47363.81,NA,NA,13331.11,NA,NA,24078.62,NA,NA,15692717.01,NA,NA,47795.33,NA,NA,431.52,NA,NA,9712.31,NA,NA,25596.8,NA,NA,9581.84,NA,NA,17374.19,NA,7792.35,NA,NA,NA,0,NA,NA,10561.32,NA,NA,19616.97,NA,NA,72960.61,NA,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",2015,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,52469.009343,NA,NA,NA,NA,NA,NA,NA,NA,16192158.553407,NA,NA,54972.018923,NA,NA,2503.00958,NA,NA,0,NA,NA,28027.925169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80496.934512,NA,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2007,NA,16653.63,NA,NA,12539.87,NA,NA,23749.57,NA,NA,31787.94,NA,NA,11346.32,NA,NA,23342.68,NA,NA,16390722.53,NA,NA,38707.31,NA,NA,6919.37,NA,NA,1048.51,NA,NA,23597.51,NA,NA,9395.87,NA,NA,18883.26,NA,9487.39,NA,NA,NA,446.05,NA,NA,10691.23,NA,NA,20601.62,NA,NA,55385.45,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2008,NA,18304.55,NA,NA,14009.05,NA,NA,26584.76,NA,NA,38973.08,NA,NA,13292.9,NA,NA,26350.52,NA,NA,17597460.53,NA,NA,45349.42,NA,NA,6376.34,NA,NA,1366.99,NA,NA,26513.08,NA,NA,10925.84,NA,NA,21621.69,NA,10695.85,NA,NA,NA,458.81131,NA,NA,11841.82,NA,NA,23240.5,NA,NA,65486.16,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2009,NA,17293.13,NA,NA,14022.9,NA,NA,26198.9,NA,NA,39377.17,NA,NA,13095.04,NA,NA,25214.25,NA,NA,16038847.72,NA,NA,41418.66,NA,NA,2041.49,NA,NA,1447.02,NA,NA,26645.63,NA,NA,10786.07,NA,NA,20229.25,NA,9443.18,NA,NA,NA,462.93966,NA,NA,11629.29,NA,NA,22533.57,NA,NA,66022.8,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2010,NA,17755.53,NA,NA,13170.68,NA,NA,25532.2,NA,NA,40327.28,NA,NA,12887.65,NA,NA,26068.3,NA,NA,15922711.92,NA,NA,43922.91,NA,NA,3595.63,NA,NA,1685.64,NA,NA,26590.16,NA,NA,10300.86,NA,NA,20814.02,NA,10513.16,NA,NA,NA,465.1,NA,NA,11296.26,NA,NA,22581.52,NA,NA,66917.44,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2011,NA,18214.28,NA,NA,15141.07,NA,NA,27259.41,NA,NA,41770.22993,NA,NA,14515.88,NA,NA,26006.12,NA,NA,17220114.93,NA,NA,44644.995,NA,NA,2874.76507,NA,NA,2555.7248,NA,NA,28391.466,NA,NA,11159.99,NA,NA,20232.75,NA,9072.76,NA,NA,NA,457.209596,NA,NA,12445.83,NA,NA,22966.23,NA,NA,70161.69593,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2012,NA,16247.63,NA,NA,13093,NA,NA,23969.2,NA,NA,37818.530367,NA,NA,12680.9,NA,NA,23166.55,NA,NA,16259099.13,NA,NA,40527.0823,NA,NA,2708.551933,NA,NA,2187.37663,NA,NA,24314.919,NA,NA,10202.86,NA,NA,17481.89,NA,7279.03,NA,NA,NA,456.93763,NA,NA,10677.66,NA,NA,19729.78,NA,NA,62133.449367,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2013,NA,18193.39,NA,NA,14049.45,NA,NA,26299.07,NA,NA,41168.107306,NA,NA,14209.02,NA,NA,26921.7,NA,NA,17049086.86,NA,NA,42426.7327,NA,NA,1258.625394,NA,NA,2583.558992,NA,NA,28862.458,NA,NA,10480.51,NA,NA,20191.65,NA,9711.14,NA,NA,NA,457.439365,NA,NA,11655.2,NA,NA,22350.98,NA,NA,70030.565306,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2014,NA,18807.17,NA,NA,14803.9,NA,NA,27786.89,NA,NA,45209.55,NA,NA,14424.34,NA,NA,27574.42,NA,NA,17877444.21,NA,NA,45890.44,NA,NA,680.89,NA,NA,4381.54,NA,NA,29481.47,NA,NA,10782.65,NA,NA,20276.94,NA,9494.29,NA,NA,NA,459.31,NA,NA,11982.29,NA,NA,22867.49,NA,NA,74691.02,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2015,NA,15883.2,NA,NA,12895.36,NA,NA,23483.72,NA,NA,47363.81,NA,NA,13331.11,NA,NA,24078.62,NA,NA,15692717.01,NA,NA,47795.33,NA,NA,431.52,NA,NA,9712.31,NA,NA,25596.8,NA,NA,9581.84,NA,NA,17374.19,NA,7792.35,NA,NA,NA,460.47,NA,NA,10561.32,NA,NA,19616.97,NA,NA,72960.61,NA
"DAC EU Members, Total","Group","Group","Group","2017-05-16",NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51414.36,NA,NA,NA,NA,NA,NA,NA,NA,15959052.64573,NA,NA,53926.58,NA,NA,2512.22,NA,NA,0,NA,NA,27381.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.87,NA,NA,NA,NA,NA,NA,NA,NA,78795.56,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2007,830.01,NA,NA,722.56,NA,NA,1090.81,NA,NA,1411.693881,NA,NA,687.87,NA,NA,1097.38,NA,NA,293269.353823,NA,NA,1525.656898,NA,NA,113.963017,NA,NA,41.697394,NA,NA,842.73844,NA,NA,661.94,NA,NA,995.36,NA,333.42,NA,NA,NA,0,NA,NA,662.14,NA,NA,998.98,NA,NA,2254.432321,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2008,791.93,NA,NA,699.75,NA,NA,1051.28,NA,NA,1459.869565,NA,NA,675.67,NA,NA,1051.66,NA,NA,289034.638938,NA,NA,1540.832971,NA,NA,80.963406,NA,NA,40.983142,NA,NA,821.643306,NA,NA,627.45,NA,NA,932.68,NA,305.23,NA,NA,NA,0,NA,NA,639.97,NA,NA,958.27,NA,NA,2281.512871,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2009,812.24,NA,NA,762.03,NA,NA,1073.62,NA,NA,1622.161143,NA,NA,762.29,NA,NA,1097.44,NA,NA,276842.951203,NA,NA,1652.797907,NA,NA,30.636764,NA,NA,75.785223,NA,NA,784.507603,NA,NA,693.12,NA,NA,956.3,NA,263.18,NA,NA,NA,0,NA,NA,719.33,NA,NA,1004.21,NA,NA,2406.668746,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2010,774.42,NA,NA,742.97,NA,NA,1053.22,NA,NA,1821.636859,NA,NA,791.35,NA,NA,1140.59,NA,NA,279015.880333,NA,NA,1863.393122,NA,NA,41.756263,NA,NA,131.718657,NA,NA,673.472154,NA,NA,708.44,NA,NA,984.55,NA,276.11,NA,NA,NA,0,NA,NA,688.57,NA,NA,972.49,NA,NA,2495.109013,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2011,781.76,NA,NA,815.46,NA,NA,1094.64,NA,NA,1794.063769,NA,NA,770.43,NA,NA,1056.15,NA,NA,287939.532747,NA,NA,1794.980428,NA,NA,0.916659,NA,NA,101.472303,NA,NA,658.602305,NA,NA,689.57,NA,NA,912.04,NA,222.47,NA,NA,NA,0,NA,NA,696.4,NA,NA,943.28,NA,NA,2452.666074,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2012,754.65,NA,NA,709.91,NA,NA,1031.46,NA,NA,1696.30298,NA,NA,724.55,NA,NA,1055.13,NA,NA,286523.738056,NA,NA,1697.108414,NA,NA,0.805434,NA,NA,126.626681,NA,NA,681.031092,NA,NA,648.04,NA,NA,886.35,NA,238.31,NA,NA,NA,0,NA,NA,644.97,NA,NA,927.18,NA,NA,2377.334072,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2013,667.43,NA,NA,604.97,NA,NA,904.25,NA,NA,1812.334955,NA,NA,633.7,NA,NA,948.12,NA,NA,291870.305822,NA,NA,1812.819638,NA,NA,0.484683,NA,NA,137.518216,NA,NA,673.433467,NA,NA,543.32,NA,NA,785.59,NA,242.27,NA,NA,NA,0,NA,NA,541.81,NA,NA,808.56,NA,NA,2485.768422,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2014,673.93,NA,NA,535.58,NA,NA,831.42,NA,NA,1795.987162,NA,NA,662.88,NA,NA,986.14,NA,NA,295762.637681,NA,NA,1796.181051,NA,NA,0.193889,NA,NA,216.01785,NA,NA,735.556587,NA,NA,517.33,NA,NA,758.29,NA,240.96,NA,NA,NA,0,NA,NA,497.61,NA,NA,756.05,NA,NA,2531.543749,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2015,545.13,NA,NA,417.95,NA,NA,699.19,NA,NA,1880.38,NA,NA,539.77,NA,NA,845.01,NA,NA,302768.76,NA,NA,1880.44,NA,NA,0.06,NA,NA,396.97,NA,NA,685.13,NA,NA,384.12,NA,NA,609.53,NA,225.41,NA,NA,NA,0,NA,NA,381.82,NA,NA,630.83,NA,NA,2565.51,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",2015,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1698.241568,NA,NA,NA,NA,NA,NA,NA,NA,314876.796828,NA,NA,1700.110601,NA,NA,1.869033,NA,NA,420.242625,NA,NA,670.22332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2368.464888,NA,NA
"Denmark","Donor","DAC","EU","2017-05-16",NA,2007,NA,897.93,NA,NA,781.7,NA,NA,1180.06,NA,NA,1527.23,8312.101998,NA,744.18,NA,NA,1187.18,NA,NA,317271.16,1726780.015416,NA,1650.52,8983.120152,NA,123.29,671.018154,NA,45.11,245.515686,NA,911.71,4962.072846,NA,716.12,NA,NA,1076.78,NA,360.66,NA,NA,NA,5.48,0,NA,716.34,NA,NA,1080.72,NA,NA,2438.94,13274.174844
"Denmark","Donor","DAC","EU","2017-05-16",NA,2008,NA,939.72,NA,NA,830.31,NA,NA,1247.43,NA,NA,1732.26,8951.45355,NA,801.74,NA,NA,1247.91,NA,NA,342964.3,1772268.02025,NA,1828.33,9447.895275,NA,96.07,496.441725,NA,48.63,251.295525,NA,974.95,5038.054125,NA,744.51,NA,NA,1106.72,NA,362.21,NA,NA,NA,5.51,0,NA,759.37,NA,NA,1137.07,NA,NA,2707.21,13989.507675
"Denmark","Donor","DAC","EU","2017-05-16",NA,2009,NA,936.42,NA,NA,878.55,NA,NA,1237.75,NA,NA,1870.13,9998.650045,NA,878.82,NA,NA,1265.18,NA,NA,319162.07,1706400.007255,NA,1905.45,10187.488425,NA,35.32,188.83838,NA,87.37,467.123705,NA,904.43,4835.534995,NA,799.08,NA,NA,1102.49,NA,303.41,NA,NA,NA,5.53,0,NA,829.31,NA,NA,1157.73,NA,NA,2774.56,14834.18504
"Denmark","Donor","DAC","EU","2017-05-16",NA,2010,NA,876.46,NA,NA,840.88,NA,NA,1192.01,NA,NA,2061.74,11590.689932,NA,895.65,NA,NA,1290.89,NA,NA,315791.92,1775319.015856,NA,2109,11856.3762,NA,47.26,265.686268,NA,149.08,838.097944,NA,762.24,4285.160832,NA,801.81,NA,NA,1114.31,NA,312.5,NA,NA,NA,5.56,0,NA,779.3,NA,NA,1100.63,NA,NA,2823.98,15875.850764
"Denmark","Donor","DAC","EU","2017-05-16",NA,2011,NA,933.98,NA,NA,974.19,NA,NA,1307.74,NA,NA,2143.24493,11488.650123,NA,920.41,NA,NA,1261.77,NA,NA,343981.61,1843879.022244,NA,2144.34,11494.520136,NA,1.09507,5.870013,NA,121.222,649.798409,NA,786.787,4217.493035,NA,823.79,NA,NA,1089.57,NA,265.78,NA,NA,NA,5.58,0,NA,831.96,NA,NA,1126.91,NA,NA,2930.03193,15706.143158
"Denmark","Donor","DAC","EU","2017-05-16",NA,2012,NA,854.48,NA,NA,803.79,NA,NA,1167.87,NA,NA,1920.598067,11120.070748,NA,820.38,NA,NA,1194.68,NA,NA,324409.58,1878299.027242,NA,1921.51,11125.350749,NA,0.911933,5.280001,NA,143.37,830.097963,NA,771.081,4464.481882,NA,733.73,NA,NA,1003.59,NA,269.86,NA,NA,NA,5.6,0,NA,730.25,NA,NA,1049.79,NA,NA,2691.679067,15584.55263
"Denmark","Donor","DAC","EU","2017-05-16",NA,2013,NA,785.86,NA,NA,712.33,NA,NA,1064.72,NA,NA,2133.949306,11986.179857,NA,746.17,NA,NA,1116.38,NA,NA,343665.19,1930333.005711,NA,2134.52,11989.385388,NA,0.570694,3.205531,NA,161.922,909.499682,NA,792.94,4453.864686,NA,639.73,NA,NA,924.98,NA,285.25,NA,NA,NA,5.627235,0,NA,637.95,NA,NA,952.04,NA,NA,2926.889306,16440.044543
"Denmark","Donor","DAC","EU","2017-05-16",NA,2014,NA,799.45,NA,NA,635.33,NA,NA,986.27,NA,NA,2130.48,11970.527976,NA,786.32,NA,NA,1169.78,NA,NA,350846.82,1971303.027534,NA,2130.71,11971.820277,NA,0.23,1.292301,NA,256.25,1439.791875,NA,872.55,4902.596685,NA,613.68,NA,NA,899.51,NA,285.83,NA,NA,NA,5.66,0,NA,590.29,NA,NA,896.86,NA,NA,3003.03,16873.124661
"Denmark","Donor","DAC","EU","2017-05-16",NA,2015,NA,545.13,NA,NA,417.95,NA,NA,699.19,NA,NA,1880.38,12646.307652,NA,539.77,NA,NA,845.01,NA,NA,302768.76,2036241.018504,NA,1880.44,12646.711176,NA,0.06,0.403524,NA,396.97,2669.782038,NA,685.13,4607.773302,NA,384.12,NA,NA,609.53,NA,225.41,NA,NA,NA,5.71,0,NA,381.82,NA,NA,630.83,NA,NA,2565.51,17254.080954
"Denmark","Donor","DAC","EU","2017-05-16",NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1699.12,11436.436896,NA,NA,NA,NA,NA,NA,NA,315039.67,2120469.010836,NA,1700.99,11449.023492,NA,1.87,12.586596,NA,420.46,2830.032168,NA,670.57,4513.472556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,0,NA,NA,NA,NA,NA,NA,NA,2369.69,15949.909452
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2007,4.41,NA,NA,0.09,NA,NA,6.27,NA,NA,2.684475,NA,NA,0.61,NA,NA,6.73,NA,NA,20624.582852,NA,NA,2.684475,NA,NA,0,NA,NA,0,NA,NA,13.8955,NA,NA,0.57,NA,NA,5.13,NA,4.56,NA,NA,NA,0,NA,NA,0.09,NA,NA,5.07,NA,NA,16.579975,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2008,0,NA,NA,0,NA,NA,0,NA,NA,5.265848,NA,NA,0,NA,NA,0,NA,NA,19463.544176,NA,NA,5.265848,NA,NA,0,NA,NA,0,NA,NA,14.512533,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,19.778381,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2009,0,NA,NA,0,NA,NA,0,NA,NA,3.415363,NA,NA,0,NA,NA,0,NA,NA,17544.702162,NA,NA,3.415363,NA,NA,0,NA,NA,0,NA,NA,14.030426,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,17.445789,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2010,4.18,NA,NA,0.09,NA,NA,5.8,NA,NA,4.767882,NA,NA,2.16,NA,NA,8.03,NA,NA,17805.727384,NA,NA,4.767882,NA,NA,0,NA,NA,0,NA,NA,13.449117,NA,NA,1.54,NA,NA,6.18,NA,4.64,NA,NA,NA,0,NA,NA,0.09,NA,NA,5.08,NA,NA,18.216999,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2011,3.68,NA,NA,0.48,NA,NA,6,NA,NA,6.384254,NA,NA,1.91,NA,NA,6.66,NA,NA,18507.988191,NA,NA,6.384254,NA,NA,0,NA,NA,0,NA,NA,14.876103,NA,NA,1.55,NA,NA,5.15,NA,3.6,NA,NA,NA,0,NA,NA,0.36,NA,NA,4.62,NA,NA,21.260357,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2012,4.45,NA,NA,0.49,NA,NA,6.38,NA,NA,7.918014,NA,NA,3.67,NA,NA,8.96,NA,NA,20115.980485,NA,NA,7.918014,NA,NA,0,NA,NA,0,NA,NA,13.479037,NA,NA,3.48,NA,NA,6.98,NA,3.5,NA,NA,NA,0,NA,NA,0.46,NA,NA,4.98,NA,NA,21.397051,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2013,4.47,NA,NA,0.74,NA,NA,6.93,NA,NA,9.831938,NA,NA,3.14,NA,NA,8.79,NA,NA,20842.92642,NA,NA,9.831938,NA,NA,0,NA,NA,0.19767,NA,NA,16.526938,NA,NA,2.7,NA,NA,6.79,NA,4.09,NA,NA,NA,0,NA,NA,0.58,NA,NA,5.35,NA,NA,26.358876,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2014,5.06,NA,NA,1.08,NA,NA,7.93,NA,NA,12.645749,NA,NA,3.86,NA,NA,10.35,NA,NA,21844.307177,NA,NA,12.645749,NA,NA,0,NA,NA,0.253253,NA,NA,19.036157,NA,NA,2.59,NA,NA,7.21,NA,4.62,NA,NA,NA,0,NA,NA,0.94,NA,NA,6.21,NA,NA,31.681906,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2015,3.92,NA,NA,0.49,NA,NA,6.31,NA,NA,15.04,NA,NA,2.67,NA,NA,8.09,NA,NA,22000.22,NA,NA,15.04,NA,NA,0,NA,NA,0.53,NA,NA,18.85,NA,NA,2.02,NA,NA,5.83,NA,3.81,NA,NA,NA,0,NA,NA,0.29,NA,NA,4.67,NA,NA,33.89,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",2015,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.133482,NA,NA,NA,NA,NA,NA,NA,NA,22358.163747,NA,NA,19.133482,NA,NA,0,NA,NA,2.44593,NA,NA,24.163418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,43.2969,NA,NA
"Estonia","Donor","Non-DAC","EU","2017-05-16",NA,2007,NA,4.32,NA,NA,0.09,NA,NA,6.15,NA,NA,2.61,1.906649,NA,0.6,NA,NA,6.6,NA,NA,20052.4,14648.619091,NA,2.61,1.906649,NA,0,0,NA,0,0,NA,13.51,9.869285,NA,0.56,NA,NA,5.03,NA,4.47,NA,NA,NA,0,0,NA,0.09,NA,NA,4.98,NA,NA,16.12,11.775934
"Estonia","Donor","Non-DAC","EU","2017-05-16",NA,2008,NA,0,NA,NA,0,NA,NA,0,NA,NA,5.86,4.007578,NA,0,NA,NA,0,NA,NA,21659.64,14812.746221,NA,5.86,4.007578,NA,0,0,NA,0,0,NA,16.15,11.044775,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,22.01,15.052353
"Estonia","Donor","Non-DAC","EU","2017-05-16",NA,2009,NA,0,NA,NA,0,NA,NA,0,NA,NA,3.61,2.598796,NA,0,NA,NA,0,NA,NA,18544.55,13349.99901,NA,3.61,2.598796,NA,0,0,NA,0,0,NA,14.83,10.675939,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,18.44,13.274735
"Estonia","Donor","Non-DAC","EU","2017-05-16",NA,2010,NA,4.24,NA,NA,0.09,NA,NA,5.88,NA,NA,4.91,3.707683,NA,2.21,NA,NA,8.19,NA,NA,18336.47,13846.400255,NA,4.91,3.707683,NA,0,0,NA,0,0,NA,13.85,10.458537,NA,1.58,NA,NA,6.31,NA,4.73,NA,NA,NA,1.34,0,NA,0.09,NA,NA,5.15,NA,NA,18.76,14.16622
"Estonia","Donor","Non-DAC","EU","2017-05-16",NA,2011,NA,4.18,NA,NA,0.54,NA,NA,6.78,NA,NA,7.27,5.228584,NA,2.18,NA,NA,7.58,NA,NA,21075.77,15157.693784,NA,7.27,5.228584,NA,0,0,NA,0,0,NA,16.94,12.183248,NA,1.76,NA,NA,5.86,NA,4.1,NA,NA,NA,1.32,0,NA,0.4,NA,NA,5.22,NA,NA,24.21,17.411832
"Estonia","Donor","Non-DAC","EU","2017-05-16",NA,2012,NA,4.8,NA,NA,0.51,NA,NA,6.87,NA,NA,8.6,6.6908,NA,3.97,NA,NA,9.69,NA,NA,21848.59,16998.20302,NA,8.6,6.6908,NA,0,0,NA,0,0,NA,14.64,11.38992,NA,3.76,NA,NA,7.55,NA,3.79,NA,NA,NA,1.32,0,NA,0.48,NA,NA,5.36,NA,NA,23.24,18.08072
"Estonia","Donor","Non-DAC","EU","2017-05-16",NA,2013,NA,5.17,NA,NA,0.86,NA,NA,8.03,NA,NA,11.44,8.616608,NA,3.65,NA,NA,10.2,NA,NA,24251.89,18266.523548,NA,11.44,8.616608,NA,0,0,NA,0.23,0.173236,NA,19.23,14.484036,NA,3.15,NA,NA,7.89,NA,4.74,NA,NA,NA,1.32,0,NA,0.68,NA,NA,6.19,NA,NA,30.67,23.100644
"Estonia","Donor","Non-DAC","EU","2017-05-16",NA,2014,NA,6,NA,NA,1.28,NA,NA,9.37,NA,NA,14.98,11.290426,NA,4.59,NA,NA,12.24,NA,NA,25876.5,19503.11805,NA,14.98,11.290426,NA,0,0,NA,0.3,0.22611,NA,22.55,16.995935,NA,3.07,NA,NA,8.51,NA,5.44,NA,NA,NA,1.32,0,NA,1.11,NA,NA,7.32,NA,NA,37.53,28.286361
"Estonia","Donor","Non-DAC","EU","2017-05-16",NA,2015,NA,3.92,NA,NA,0.49,NA,NA,6.31,NA,NA,15.04,13.55856,NA,2.67,NA,NA,8.09,NA,NA,22000.22,19833.19833,NA,15.04,13.55856,NA,0,0,NA,0.53,0.477795,NA,18.85,16.993275,NA,2.02,NA,NA,5.83,NA,3.81,NA,NA,NA,1.31,0,NA,0.29,NA,NA,4.67,NA,NA,33.89,30.551835
