"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","Population_Constant Prices","Population_Current Prices","Population_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2007,NA,37021.09,NA,NA,35499.12,NA,NA,50094.95,NA,NA,81340.58,NA,NA,44524.77,NA,NA,60692.99,NA,NA,0,NA,NA,90374.58,NA,NA,9034,NA,NA,1956.33,NA,NA,31793.44,NA,NA,32297.79,NA,NA,45143.86,NA,12846.07,NA,NA,NA,0,NA,NA,31022.56,NA,NA,44157.52,NA,NA,113134.02,NA
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2008,NA,43357.34,NA,NA,42940.09,NA,NA,59797.29,NA,NA,99037.44,NA,NA,50246.24,NA,NA,68249.68,NA,NA,0,NA,NA,108017.33,NA,NA,8979.89,NA,NA,2626.68,NA,NA,36404.4,NA,NA,37958.95,NA,NA,52715.8,NA,14756.85,NA,NA,NA,0,NA,NA,37665.1,NA,NA,53069.86,NA,NA,135441.84,NA
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2009,NA,43975.66,NA,NA,45159.39,NA,NA,61708.1,NA,NA,100779.58,NA,NA,53209.77,NA,NA,70534.25,NA,NA,0,NA,NA,102527.38,NA,NA,1747.8,NA,NA,3226.07,NA,NA,37624.83,NA,NA,39521.34,NA,NA,52952.97,NA,13431.63,NA,NA,NA,0,NA,NA,39840.07,NA,NA,54844.01,NA,NA,138404.41,NA
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2010,NA,45138.4,NA,NA,43515.3,NA,NA,61247.71,NA,NA,104454.37,NA,NA,54447.49,NA,NA,74095.3,NA,NA,0,NA,NA,108386.73,NA,NA,3932.36,NA,NA,3513.46,NA,NA,39256.88,NA,NA,41448.62,NA,NA,57087.61,NA,15638.99,NA,NA,NA,0,NA,NA,39400.21,NA,NA,55825.23,NA,NA,143711.25,NA
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2011,NA,46003.93,NA,NA,47610.8,NA,NA,64965.95,NA,NA,115437.616497,NA,NA,56548.51,NA,NA,74015.05,NA,NA,0,NA,NA,119577.356312,NA,NA,4139.739815,NA,NA,4654.637128,NA,NA,41670.687927,NA,NA,41495.18,NA,NA,55494.24,NA,13999.06,NA,NA,NA,0,NA,NA,41628.61,NA,NA,57130.77,NA,NA,157108.304424,NA
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2012,NA,48319.46,NA,NA,48293.48,NA,NA,65848.91,NA,NA,107605.290367,NA,NA,56748.58,NA,NA,75125.19,NA,NA,0,NA,NA,110605.0923,NA,NA,2999.801933,NA,NA,4451.36663,NA,NA,40009.099,NA,NA,41979.27,NA,NA,55035.56,NA,13056.29,NA,NA,NA,0,NA,NA,41629.51,NA,NA,57120.49,NA,NA,147614.389367,NA
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2013,NA,56700.92,NA,NA,55723.17,NA,NA,73752.82,NA,NA,120576.484806,NA,NA,67836.24,NA,NA,87798.57,NA,NA,0,NA,NA,124219.0627,NA,NA,3642.577894,NA,NA,4960.253292,NA,NA,42843.253,NA,NA,44797.56,NA,NA,60244.41,NA,15446.85,NA,NA,NA,0,NA,NA,45085.79,NA,NA,61356.92,NA,NA,163419.737806,NA
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2014,NA,53842.08,NA,NA,54050.51,NA,NA,73206.43,NA,NA,133492.92,NA,NA,65066.82,NA,NA,85575.84,NA,NA,0,NA,NA,134473.21,NA,NA,980.29,NA,NA,6787.21,NA,NA,44121.5,NA,NA,43219.45,NA,NA,58088.34,NA,14868.89,NA,NA,NA,0,NA,NA,44256.4,NA,NA,60870.08,NA,NA,177614.42,NA
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2015,NA,49229.31,NA,NA,50893.47,NA,NA,67030.43,NA,NA,123569.44,NA,NA,63272.29,NA,NA,80397.06,NA,NA,0,NA,NA,124479.04,NA,NA,909.6,NA,NA,12115.2,NA,NA,38260.13,NA,NA,42735.1,NA,NA,55213.15,NA,12478.05,NA,NA,NA,0,NA,NA,42582.94,NA,NA,56851.38,NA,NA,161829.57,NA
"All Donors, Total","Group","Group","Group","2017-05-16",NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125694.92,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,128682.19,NA,NA,2987.27,NA,NA,0,NA,NA,41633.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,167328.16,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2007,169.44,NA,NA,79.28,NA,NA,217.12,NA,NA,2095.583628,NA,NA,860.28,NA,NA,1083.25,NA,NA,877104.757996,NA,NA,2404.866655,NA,NA,309.283027,NA,NA,0,NA,NA,424.602791,NA,NA,542.46,NA,NA,715.78,NA,173.32,NA,NA,NA,0,NA,NA,70.01,NA,NA,201.22,NA,NA,2520.186419,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2008,144.53,NA,NA,70.56,NA,NA,187.72,NA,NA,2420.817577,NA,NA,1022.31,NA,NA,1170.46,NA,NA,944144.215717,NA,NA,2679.475241,NA,NA,258.657664,NA,NA,0,NA,NA,304.107078,NA,NA,633.87,NA,NA,752.68,NA,118.81,NA,NA,NA,0,NA,NA,65.82,NA,NA,172.27,NA,NA,2724.924655,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2009,203.72,NA,NA,99.96,NA,NA,243.62,NA,NA,2461.033468,NA,NA,1034,NA,NA,1230.92,NA,NA,1002535.115391,NA,NA,2464.188612,NA,NA,3.155144,NA,NA,1.268453,NA,NA,479.485921,NA,NA,605.59,NA,NA,755.84,NA,150.25,NA,NA,NA,0,NA,NA,94.18,NA,NA,234.13,NA,NA,2940.519389,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2010,283.55,NA,NA,163.29,NA,NA,369.31,NA,NA,2820.820667,NA,NA,1197.53,NA,NA,1475.83,NA,NA,1019728.473271,NA,NA,2827.331848,NA,NA,6.511181,NA,NA,4.756516,NA,NA,463.601227,NA,NA,732.93,NA,NA,950.82,NA,217.89,NA,NA,NA,0,NA,NA,129.48,NA,NA,326.35,NA,NA,3284.421894,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2011,349.95,NA,NA,283.81,NA,NA,438.8,NA,NA,3142.58097,NA,NA,1283.58,NA,NA,1481.54,NA,NA,1060945.904568,NA,NA,3151.907721,NA,NA,9.326751,NA,NA,0.01463,NA,NA,493.140054,NA,NA,817.87,NA,NA,982.64,NA,164.77,NA,NA,NA,0,NA,NA,221.02,NA,NA,372.48,NA,NA,3635.721024,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2012,413.77,NA,NA,287.41,NA,NA,537.71,NA,NA,3314.579102,NA,NA,1353.95,NA,NA,1685.33,NA,NA,1094862.376791,NA,NA,3320.715776,NA,NA,6.136674,NA,NA,112.442294,NA,NA,630.958306,NA,NA,912.51,NA,NA,1155.32,NA,242.81,NA,NA,NA,0,NA,NA,269.4,NA,NA,512.7,NA,NA,3945.537408,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2013,366.37,NA,NA,244.62,NA,NA,451.87,NA,NA,3215.64662,NA,NA,1225.37,NA,NA,1526.37,NA,NA,1134864.472509,NA,NA,3215.64662,NA,NA,0,NA,NA,265.480253,NA,NA,539.593885,NA,NA,770.91,NA,NA,1006.99,NA,236.08,NA,NA,NA,0,NA,NA,239.97,NA,NA,440.79,NA,NA,3755.240505,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2014,323.69,NA,NA,151.79,NA,NA,415.01,NA,NA,2897.065286,NA,NA,1143.23,NA,NA,1506.9,NA,NA,1154666.379491,NA,NA,2897.065286,NA,NA,0,NA,NA,0,NA,NA,732.181246,NA,NA,733.56,NA,NA,1009.14,NA,275.58,NA,NA,NA,0,NA,NA,135.98,NA,NA,386.05,NA,NA,3629.246532,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2015,294.9,NA,NA,102.41,NA,NA,361.79,NA,NA,2744.38,NA,NA,1061.6,NA,NA,1400.96,NA,NA,1200091.67,NA,NA,2752.19,NA,NA,7.81,NA,NA,0,NA,NA,741.42,NA,NA,678.75,NA,NA,931.03,NA,252.28,NA,NA,NA,0,NA,NA,91.01,NA,NA,335.66,NA,NA,3485.8,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",2015,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,2224.466692,NA,NA,NA,NA,NA,NA,NA,NA,1218567.562223,NA,NA,2232.099196,NA,NA,7.632504,NA,NA,0,NA,NA,817.716476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3042.183168,NA,NA
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2007,NA,159.81,NA,NA,74.77,NA,NA,204.76,NA,NA,1976.38,2362.169376,NA,811.34,NA,NA,1021.63,NA,NA,827212.18,988683.997536,NA,2268.07,2710.797264,NA,291.69,348.627888,NA,0,0,NA,400.45,478.61784,NA,511.59,NA,NA,675.06,NA,163.47,NA,NA,NA,21.02,0,NA,66.03,NA,NA,189.77,NA,NA,2376.83,2840.787216
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2008,NA,143.14,NA,NA,69.9,NA,NA,185.93,NA,NA,2396.88,2907.175752,NA,1012.22,NA,NA,1158.94,NA,NA,934808.31,1133828.999199,NA,2652.98,3217.799442,NA,256.1,310.62369,NA,0,0,NA,301.1,365.20419,NA,627.62,NA,NA,745.28,NA,117.66,NA,NA,NA,21.37,0,NA,65.2,NA,NA,170.62,NA,NA,2697.98,3272.379942
