"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_Constant Prices","Total_ODA_Current Prices","Total_ODA_Ex_DR_Constant Prices","Total_ODA_Ex_DR_Current Prices","Total_ODA_Ex_DR_National currency","Total_ODA_National currency"
"All Donors, Total","Group","Group","Group","2018-04-10",2007,39143.12,41576.63,NA,37939.11,40116.3,NA,51335.5,54712.13,NA,78537.116707,81340.58,NA,52748.45,54486.04,NA,67642.02,70654.26,NA,0,0,NA,87051.383943,90374.58,NA,8514.267236,9034,NA,1919.529107,1956.33,NA,29274.06498,31793.44,NA,33294.21,34809.41,NA,45147.25,47655.48,11853.04,12846.07,NA,NA,33607.74,35451.21,NA,45695.41,48586.17,NA,116325.448923,122168.02,107811.181687,113134.02,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2008,40590.61,44947.67,NA,40943.93,45115.45,NA,55644.68,61972.65,NA,91296.939451,99037.44,NA,54356.94,58654.43,NA,70093.87,76657.87,NA,0,0,NA,99192.782686,108017.33,NA,7895.843235,8979.89,NA,2419.814641,2626.68,NA,31826.452156,36404.4,NA,35941.77,39129.32,NA,48855.39,53886.17,12913.62,14756.85,NA,NA,36134.14,39672.84,NA,49580.4,55077.6,NA,131019.234842,144421.73,123123.391607,135441.84,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2009,43585.79,46540.37,NA,45193.07,48186.06,NA,60206.62,64734.77,NA,95671.626158,100779.58,NA,53708.96,55816.74,NA,69479.47,73141.22,NA,0,0,NA,97248.352141,102527.38,NA,1576.725983,1747.8,NA,3091.853015,3226.07,NA,34197.883334,37624.83,NA,38601.8,40445.12,NA,50828.28,53876.75,12226.48,13431.63,NA,NA,40298.65,42733.58,NA,53928.85,57737.52,NA,131446.235475,140152.21,129869.509492,138404.41,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2010,45879.37,49163.88,NA,44776.28,47819.5,NA,60990.48,65551.91,NA,98428.285284,104454.37,NA,55774.37,58697.53,NA,73714.9,78345.34,NA,0,0,NA,101907.739853,108386.73,NA,3479.454569,3932.36,NA,3288.169204,3513.46,NA,35830.95774,39256.88,NA,41855.89,44346.41,NA,56142.59,59985.4,14286.7,15638.99,NA,NA,40984.54,43597.18,NA,56010.51,60022.2,NA,137738.697593,147643.61,134259.243024,143711.25,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2011,44113.34,49750.36,NA,45966.82,51644.44,NA,60830.42,68999.59,NA,102437.095277,115437.616497,NA,54353.06,60320.62,NA,69313.16,77787.16,NA,0,0,NA,106149.322514,119577.356312,NA,3712.227237,4139.739815,NA,4015.690083,4654.637128,NA,35607.850095,41670.687927,NA,40573.56,45231.59,NA,52565.46,59230.65,11991.9,13999.06,NA,NA,40781.83,45559.01,NA,54076.21,61061.17,NA,141757.172609,161248.044239,138044.945372,157108.304424,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2012,47031.96,51790.68,NA,47314.2,51841.3,NA,62942.28,69396.73,NA,97765.284839,107605.290367,NA,54815.07,60244.77,NA,71128.43,78621.38,NA,0,0,NA,100430.982178,110605.0923,NA,2665.697339,2999.801933,NA,3994.850623,4451.36663,NA,35518.873043,40009.099,NA,39364.54,43124.05,NA,50944.81,56180.34,11580.27,13056.29,NA,NA,41329.92,45104.24,NA,55115.95,60595.22,NA,135949.855221,150614.1913,133284.157882,147614.389367,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2013,52084.58,57751.05,NA,51331.56,56791.84,NA,67206.91,74821.49,NA,108262.494515,120576.484806,NA,64937.83,71505.3,NA,82550,91467.63,NA,0,0,NA,111577.495261,124219.0627,NA,3315.000746,3642.577894,NA,4324.503317,4960.253292,NA,37721.638573,42843.253,NA,43575.12,47908.67,NA,57216.84,63355.52,13641.72,15446.85,NA,NA,41879.37,46082.37,NA,56233.8,62353.5,NA,149299.133834,167062.3157,145984.133088,163419.737806,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2014,48434.41,54077.9,NA,48566.54,54082.88,NA,65436.12,73238.8,NA,119582.612687,133490.24,NA,59407.31,65882.49,NA,77545.25,86391.51,NA,0,0,NA,120377.832067,134470.53,NA,795.21938,980.29,NA,5950.075631,6787.21,NA,38737.413461,44081.7,NA,39709.13,43949.1,NA,52855.31,58817.99,13146.18,14868.89,NA,NA,39984.71,44262.26,NA,54655.26,60875.94,NA,159115.245528,178552.23,158320.026148,177571.94,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2015,49186.26,49505.04,NA,50842.54,51044.1,NA,66810.23,67181.06,NA,123261.741796,123630.52,NA,63347.33,63619.36,NA,80334.66,80744.13,NA,0,0,NA,124152.416569,124540.12,NA,890.674773,909.6,NA,12101.233637,12120.82,NA,37904.604011,38241.56,NA,42914.26,43010.05,NA,55290.86,55488.1,12376.6,12478.05,NA,NA,42514.63,42713.5,NA,56646.69,56981.94,NA,162057.02058,162781.68,161166.345807,161872.08,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2016,50880.04,50880.04,NA,49953.53,49953.53,NA,68747.9,68747.9,NA,130086.91,130086.91,NA,67624.56,67624.56,NA,87188.8,87188.8,NA,0,0,NA,133024.7,133024.7,NA,2937.79,2937.79,NA,16026.9,16026.9,NA,43550.65,43550.65,NA,43069.08,43069.08,NA,57935.6,57935.6,14866.52,14866.52,NA,NA,41808.21,41808.21,NA,57688.27,57688.27,NA,176575.35,176575.35,173637.56,173637.56,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,132088.77072,133561.26,NA,NA,NA,NA,NA,NA,NA,0,0,NA,132929.088666,134488.48,NA,840.317946,927.22,NA,0,0,NA,42395.462753,43106.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175324.551419,177595.01,174484.233473,176667.79,NA,NA
"Australia","Donor","DAC","Non-EU","2018-04-10",2007,182.44,171.58,205.072416,91.99,86.54,103.432608,230.22,216.53,258.796656,2101.62151,1976.38,2362.169376,1172.4,1102.56,1317.779712,1396,1312.85,1569.11832,879631.90839,827212.18,988683.997536,2411.795656,2268.07,2710.797264,310.174146,291.69,348.627888,0,0,0,425.826174,400.45,478.61784,543.99,511.59,611.452368,717.8,675.06,173.81,163.47,195.379344,806.831712,70.18,66.03,78.919056,201.77,189.77,226.813104,2837.62183,2668.52,2527.447684,2376.83,2840.787216,3189.415104
"Australia","Donor","DAC","Non-EU","2018-04-10",2008,152,150.09,182.044161,77.81,76.85,93.211365,195.3,192.88,233.944152,2427.75645,2396.88,2907.175752,1284.33,1268.01,1537.969329,1432.92,1414.73,1715.926017,946850.448692,934808.31,1133828.999199,2687.155513,2652.98,3217.799442,259.399063,256.1,310.62369,0,0,0,304.97875,301.1,365.20419,640.05,631.93,766.467897,759.2,749.59,119.15,117.66,142.709814,909.177711,66.01,65.2,79.08108,172.76,170.62,206.944998,2992.134263,2954.08,2732.7352,2697.98,3272.379942,3583.003632
"Australia","Donor","DAC","Non-EU","2018-04-10",2009,207.45,194.05,248.384,103.34,96.69,123.7632,247.45,231.5,296.32,2468.019182,2308.82,2955.2896,1040.02,972.94,1245.3632,1237.58,1157.71,1481.8688,1005380.840239,940528.91,1203877.0048,2471.183282,2311.78,2959.0784,3.1641,2.96,3.7888,1.272054,1.19,1.5232,480.846956,449.83,575.7824,607.3,568.14,727.2192,758.03,709.14,150.73,141,180.48,907.6992,94.46,88.38,113.1264,234.85,219.71,281.2288,2952.030238,2761.61,2948.866138,2758.65,3531.072,3534.8608
"Australia","Donor","DAC","Non-EU","2018-04-10",2010,284.33,329.6,359.32992,163.77,189.82,206.941764,370.34,429.31,468.033762,2829.010404,3279.53,3575.343606,1200.99,1392.22,1517.798244,1480.06,1715.73,1870.488846,1022689.06836,1185552.19,1292488.997538,2835.540489,3287.1,3583.59642,6.530085,7.57,8.252814,4.770326,5.53,6.028806,464.947208,538.99,587.606898,735.03,852.1,928.95942,953.53,1105.39,218.5,253.29,276.136758,1205.096178,129.86,150.51,164.086002,327.26,379.36,413.578272,3300.487697,3826.09,3293.957612,3818.52,4162.950504,4171.203318
"Australia","Donor","DAC","Non-EU","2018-04-10",2011,354.62,483.34,468.453128,288.29,392.95,380.84714,443.77,604.83,586.201236,3151.674572,4296.02,4163.702584,1290.92,1759.65,1705.45278,1489.48,2030.27,1967.737684,1064015.934839,1450350.8,1405679.99536,3161.028311,4308.77,4176.059884,9.353739,12.75,12.3573,0.014673,0.02,0.019384,494.56704,674.14,653.376488,820.23,1118.05,1083.61406,985.53,1343.33,165.3,225.28,218.341376,1301.955436,221.69,302.17,292.863164,373.63,509.23,493.545716,3655.595351,4982.91,3646.241612,4970.16,4817.079072,4829.436372
"Australia","Donor","DAC","Non-EU","2018-04-10",2012,414.83,565.64,546.40824,288.19,392.93,379.57038,539.14,735.14,710.14524,3323.457138,4531.66,4377.58356,1357.57,1851.07,1788.13362,1689.81,2304.12,2225.77992,1097794.944427,1496885.09,1445990.99694,3329.610249,4540.05,4385.6883,6.153111,8.39,8.10474,112.743468,153.73,148.50318,632.648316,862.64,833.31024,914.95,1247.56,1205.14296,1158.4,1579.51,243.45,331.95,320.6637,1525.80666,270.11,368.29,355.76814,514.04,700.92,677.08872,3962.258565,5402.69,3956.105454,5394.3,5210.8938,5218.99854
"Australia","Donor","DAC","Non-EU","2018-04-10",2013,367.28,472.76,490.110292,245.25,315.67,327.255089,453.02,583.1,604.49977,3223.718378,4149.28,4301.558576,1228.44,1581.15,1639.178205,1530.17,1969.54,2041.822118,1137713.15341,1464361.92,1518104.002464,3223.718378,4149.28,4301.558576,0,0,0,266.146649,342.56,355.131952,540.948347,696.26,721.812742,772.85,994.76,1031.267692,1009.51,1299.36,236.66,304.6,315.77882,1347.046512,240.59,309.66,321.024522,441.9,568.79,589.664593,3764.666725,4845.54,3764.666725,4845.54,5023.371318,5023.371318
"Australia","Donor","DAC","Non-EU","2018-04-10",2014,324.44,390.88,433.642272,152.14,183.31,203.364114,415.96,501.15,555.97581,2903.487864,3498.29,3881.002926,1145.8,1380.52,1531.548888,1510.3,1819.67,2018.741898,1157226.18885,1394293,1546828.6542,2903.487864,3498.29,3881.002926,0,0,0,0,0,0,733.804437,884.13,980.853822,735.23,885.84,982.750896,1011.43,1218.63,276.2,332.79,369.197226,1351.948122,136.29,164.21,182.174574,386.93,466.18,517.180092,3637.292301,4382.42,3637.292301,4382.42,4861.856748,4861.856748
"Australia","Donor","DAC","Non-EU","2018-04-10",2015,296.59,295.96,393.893164,103.69,103.47,137.708223,363.59,362.85,482.917065,2750.110377,2744.38,3652.495342,1064.89,1062.66,1414.294194,1404.95,1402.02,1865.948418,1202597.510406,1200091.67,1597202.003603,2757.936685,2752.19,3662.889671,7.826308,7.81,10.394329,0,0,0,742.968115,741.42,986.755878,680.17,678.75,903.348375,932.97,931.03,252.8,252.28,335.759452,1239.107827,91.2,91.01,121.125209,336.35,335.66,446.729894,3500.9048,3493.61,3493.078492,3485.8,4639.25122,4649.645549
"Australia","Donor","DAC","Non-EU","2018-04-10",2016,300.78,300.78,404.639334,76.92,76.92,103.480476,357.99,357.99,481.603947,2282.88,2282.88,3071.158464,878.3,878.3,1181.57699,1277.38,1277.38,1718.459314,1232953.99,1232953.99,1658693.002747,2290.45,2290.45,3081.342385,7.57,7.57,10.183921,0,0,0,987.07,987.07,1327.905271,534.41,534.41,718.941773,838.63,838.63,304.22,304.22,409.267166,1128.208939,68.49,68.49,92.139597,332.07,332.07,446.733771,3277.52,3277.52,3269.95,3269.95,4399.063735,4409.247656
"Australia","Donor","DAC","Non-EU","2018-04-10",2017,NA,NA,NA,106.581672678708,114.17,148.980433,347.540533585159,372.284481207475,485.794019527634,2205.700108,2362.74,3083.139426,NA,NA,NA,NA,NA,NA,1221644.341337,1308622.12,1707621.004388,2208.510048,2365.75,3087.067175,2.80994,3.01,3.927749,0,0,0,552.092504,591.4,771.71786,582.07764341445,623.52,813.631248,819.533306251446,877.881864894206,237.455662836997,254.361864894206,331.916797500449,1145.54804550045,97.974481454238,104.95,136.949255,313.603024927726,335.930713565835,438.355988132058,2760.602552,2957.15,2757.792612,2954.14,3854.857286,3858.785035
"Austria","Donor","DAC","EU","2018-04-10",2007,549.44,582.66,425.63313,394.99,418.9,306.00645,620.47,658.01,480.676305,376.973314,399.78,292.03929,868.29,920.84,672.67362,1109.25,1176.37,859.338285,342387.620429,363101.89,265245.930645,1248.732354,1324.28,967.38654,871.75904,924.5,675.34725,47.289038,50.15,36.634575,456.549026,484.17,353.686185,47.33,50.2,36.6711,240.03,254.55,192.7,204.35,149.277675,185.948775,367.58,389.83,284.770815,566.33,600.59,438.730995,1705.28138,1808.45,833.52234,883.95,645.725475,1321.072725
"Austria","Donor","DAC","EU","2018-04-10",2008,254.49,289.86,200.959938,140.23,159.71,110.726943,327.52,373.04,258.628632,439.265525,500.29,346.851057,731.15,832.71,577.317843,932.71,1062.27,736.471791,351292.446767,400095.36,277386.113088,1083.154029,1233.63,855.275679,643.888504,733.34,508.424622,39.581223,45.08,31.253964,421.3451,479.88,332.700804,93.7,106.7,73.97511,255.74,291.27,162.04,184.57,127.962381,201.937491,111.61,127.1,88.11843,278.16,316.83,219.658239,1504.499129,1713.51,860.610625,980.17,679.551861,1187.976483
"Austria","Donor","DAC","EU","2018-04-10",2009,293.85,329.24,236.427244,126.13,141.31,101.474711,414.63,464.58,333.614898,400.147136,448.36,321.967316,115.4,129.27,92.828787,389.72,436.65,313.558365,337374.906273,378024.48,271459.379088,452.597504,507.13,364.170053,52.450368,58.77,42.202737,36.243142,40.61,29.162041,566.405076,634.65,455.742165,87.45,97.96,70.345076,310.46,347.85,223.01,249.89,179.446009,249.791085,112.67,126.23,90.645763,359.16,402.42,288.977802,1019.00258,1141.78,966.552212,1083.01,777.709481,819.912218
"Austria","Donor","DAC","EU","2018-04-10",2010,402.37,432.7,326.6885,218.98,235.52,177.8176,499.52,537.2,405.586,425.241893,457.31,345.26905,217.95,234.41,176.97955,511.8,550.37,415.52935,348512.841294,374794.7,282969.9985,569.484359,612.43,462.38465,144.242466,155.12,117.1156,33.559248,36.09,27.24795,554.187888,595.98,449.9649,188.52,202.76,153.0838,426.21,458.32,237.69,255.56,192.9478,346.0316,202.3,217.57,164.26535,459.13,493.75,372.78125,1123.672247,1208.41,979.429781,1053.29,795.23395,912.34955
"Austria","Donor","DAC","EU","2018-04-10",2011,217.4,249.79,179.648968,108.5,124.69,89.677048,346.19,397.81,286.104952,388.856089,446.82,321.352944,77.63,89.21,64.159832,293.99,337.8,242.94576,362073.91933,416045.61,299220.002712,426.51287,490.09,352.472728,37.656781,43.27,31.119784,36.551532,42,30.2064,540.684192,621.28,446.824576,81.69,93.87,67.511304,256.61,294.86,174.92,200.99,144.552008,212.063312,94.4,108.48,78.018816,298.65,343.17,246.807864,967.197062,1111.37,929.540281,1068.1,768.17752,799.297304
"Austria","Donor","DAC","EU","2018-04-10",2012,339.13,367.69,286.06282,158.98,172.39,134.11942,421.19,456.73,355.33594,396.395696,429.83,334.40774,161.45,174.99,136.14222,414.68,449.56,349.75768,363911.961736,394606.4,307003.7792,493.938382,535.6,416.6968,97.542686,105.77,82.28906,53.101143,57.58,44.79724,525.800912,570.15,443.5767,49.02,53.15,41.3507,224.2,243.09,175.18,189.94,147.77332,189.12402,149.86,162.5,126.425,373.04,404.51,314.70878,1019.739294,1105.75,922.196608,999.98,777.98444,860.2735
"Austria","Donor","DAC","EU","2018-04-10",2013,248.8,283.24,213.336368,83.17,94.69,71.320508,338.61,385.5,290.3586,437.772589,498.39,375.387348,108.34,123.32,92.884624,370.65,421.98,317.835336,376206.737018,428299.26,322595.002632,477.202777,543.28,409.198496,39.430188,44.89,33.811148,55.56591,63.26,47.647432,551.803041,628.21,473.167772,93.04,105.92,79.778944,299.53,341.02,206.49,235.1,177.07732,256.856264,72.05,82.03,61.784996,295.38,336.29,253.293628,1029.005818,1171.49,989.57563,1126.6,848.55512,882.366268
"Austria","Donor","DAC","EU","2018-04-10",2014,217.79,252.63,190.407231,61.62,71.49,53.882013,298.73,346.56,261.202272,454.886456,527.72,397.742564,163.82,190.06,143.248222,411.36,477.17,359.643029,374210.180851,434126.35,327201.029995,548.747947,636.61,479.812957,93.861491,108.89,82.070393,94.352822,109.46,82.500002,515.389147,597.91,450.644767,135.31,156.98,118.315826,311.93,361.84,176.62,204.86,154.402982,272.718808,53.84,62.46,47.076102,255.69,296.62,223.562494,1064.137094,1234.52,970.275603,1125.63,848.387331,930.457724
"Austria","Donor","DAC","EU","2018-04-10",2015,217.35,215.7,194.45355,56.3,55.87,50.366805,297.15,294.91,265.861365,787.896941,781.88,704.86482,61.95,61.47,55.415205,312.81,310.44,279.86166,377017.835877,374138.66,337286.00199,788.521712,782.5,705.42375,0.624771,0.62,0.55893,442.368238,438.99,395.749485,545.173331,541.01,487.720515,41.43,41.12,37.06968,223.92,222.28,182.49,181.16,163.31574,200.38542,47.08,46.73,42.127095,257.33,255.41,230.252115,1333.695043,1323.51,1333.070272,1322.89,1192.585335,1193.144265
"Austria","Donor","DAC","EU","2018-04-10",2016,236.99,236.99,214.310057,64.33,64.33,58.173619,336.52,336.52,304.315036,978.42,978.42,884.785206,75.64,75.64,68.401252,349.53,349.53,316.079979,385989.16,385989.16,349049.997388,986.23,986.23,891.847789,7.81,7.81,7.062583,596.13,596.13,539.080359,649.25,649.25,587.116775,43.18,43.18,39.047674,250.2,250.2,207.02,207.02,187.208186,226.25586,53.85,53.85,48.696555,270.1,270.1,244.25143,1635.48,1635.48,1627.67,1627.67,1471.901981,1478.964564
"Austria","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,70.6624397114869,73.15,64.891365,335.20269650614,347.002981351041,307.826344756508,553.910452,573.41,508.672011,NA,NA,NA,NA,NA,NA,392724.191418,406549.43,360649.999353,563.715288,583.56,517.676076,9.804836,10.15,9.004065,148.067516,153.28,135.974688,624.051255,646.02,573.084342,50.5504507190992,52.33,46.421943,267.86346854655,277.293181557032,217.313017827451,224.963181557032,199.564838359243,245.986781359243,57.7760836520031,59.81,53.057451,274.205442975238,283.858415242037,251.810800161211,1187.766543,1229.58,1177.961707,1219.43,1081.756353,1090.760418
"Belgium","Donor","DAC","EU","2018-04-10",2007,716.19,779.55,569.461275,613.17,667.42,487.55031,928.45,1010.57,738.221385,967.068395,1052.69,768.990045,532.08,579.17,423.083685,860.89,937.1,684.55155,420560.727144,457796.03,334419.999915,1136.92018,1237.58,904.05219,169.851785,184.89,135.062145,77.599547,84.47,61.705335,655.117664,713.12,520.93416,452.3,492.34,359.65437,711.71,774.71,259.41,282.37,206.271285,565.925655,579.77,631.07,460.996635,852.79,928.22,678.06471,1792.037844,1950.7,1622.186059,1765.81,1289.924205,1424.98635
"Belgium","Donor","DAC","EU","2018-04-10",2008,713.61,834.17,578.330061,540.91,632.28,438.359724,951.48,1112.26,771.129858,1091.066029,1275.36,884.207088,565,660.43,457.876119,993.97,1161.9,805.54527,426431.628924,498460.98,345582.997434,1177.223083,1376.07,954.029331,86.157054,100.71,69.822243,79.526956,92.96,64.449168,863.683612,1009.57,699.934881,462.65,540.8,374.93664,815.18,952.9,352.53,412.1,285.70893,660.64557,505.08,590.4,409.32432,878.23,1026.63,711.762579,2040.906695,2385.64,1954.749641,2284.93,1584.141969,1653.964212
"Belgium","Donor","DAC","EU","2018-04-10",2009,767.38,872.76,626.728956,699.46,795.51,571.255731,1084.9,1233.88,886.049228,1302.115687,1480.93,1063.455833,567.85,645.83,463.770523,953.68,1084.64,778.879984,417197.565468,474489.63,340731.003303,1393.672551,1585.06,1138.231586,91.556864,104.13,74.775753,81.199235,92.35,66.316535,900.832319,1024.54,735.722174,539.62,613.74,440.726694,841.52,957.13,301.9,343.39,246.588359,687.315053,660.88,751.63,539.745503,999.73,1137.03,816.501243,2294.50487,2609.6,2202.948006,2505.47,1799.178007,1873.95376
"Belgium","Donor","DAC","EU","2018-04-10",2010,1258.19,1386.68,1046.9434,1099.21,1211.46,914.6523,1496.43,1649.24,1245.1762,1336.22192,1472.66,1111.8583,1042.83,1149.33,867.74415,1454.7,1603.27,1210.46885,426071.162669,469576.16,354530.0008,1837.325556,2024.93,1528.82215,501.103636,552.27,416.96385,86.334603,95.15,71.83825,888.298222,979,739.145,983.15,1083.55,818.08025,1311.28,1445.2,328.13,361.65,273.04575,1091.126,1066.23,1175.11,887.20805,1423.93,1569.34,1184.8517,2725.623778,3003.93,2224.520142,2451.66,1851.0033,2267.96715
"Belgium","Donor","DAC","EU","2018-04-10",2011,756.05,892.28,641.727776,703.89,830.66,597.410672,1097.95,1295.73,931.889016,1358.532603,1603.24,1153.050208,567.56,669.78,481.705776,923.73,1090.14,784.028688,443584.231402,523485.4,376490.69968,1473.740615,1739.2,1250.83264,115.208012,135.96,97.782432,107.471551,126.83,91.216136,905.165859,1068.21,768.256632,613,723.43,520.290856,900.32,1062.51,287.32,339.08,243.866336,764.157192,655.28,773.31,556.164552,992.88,1171.74,842.715408,2378.906474,2807.41,2263.698462,2671.45,1921.30684,2019.089272
"Belgium","Donor","DAC","EU","2018-04-10",2012,843.63,938.51,730.16078,696.68,775.04,602.98112,1043.89,1161.32,903.50696,1043.271187,1160.62,902.96236,654.9,728.52,566.78856,991.43,1102.94,858.08732,438434.792989,487750.64,379469.99792,1287.79658,1432.65,1114.6017,244.525393,272.03,211.63934,113.035577,125.75,97.8335,793.019858,882.22,686.36716,399.43,444.33,345.68874,632.31,703.42,232.88,259.09,201.57202,547.26076,674.83,750.72,584.06016,961.97,1070.17,832.59226,2080.816438,2314.87,1836.291045,2042.84,1589.32952,1800.96886
"Belgium","Donor","DAC","EU","2018-04-10",2013,649.41,754.01,567.920332,501.93,582.8,438.96496,856.92,994.96,749.403872,1114.523055,1294.11,974.723652,455.93,529.37,398.721484,811.02,941.62,709.228184,437110.101341,507543.16,382281.508112,1125.460644,1306.81,984.289292,10.937589,12.7,9.56564,134.42038,156.08,117.559456,854.604611,992.31,747.407892,427.04,495.83,373.459156,699.4,812.01,272.36,316.18,238.146776,611.605932,480.87,558.34,420.541688,782.68,908.75,684.4705,1980.065255,2299.12,1969.127666,2286.42,1722.131544,1731.697184
"Belgium","Donor","DAC","EU","2018-04-10",2014,667.27,779.41,587.441317,457.57,534.46,402.822502,862.3,1007.22,759.141714,1122.738987,1311.45,988.439865,424.95,496.34,374.091458,841.17,982.52,740.525324,452287.454089,528308.35,398186.003395,1129.296752,1319.11,994.213207,6.557765,7.66,5.773342,159.851938,186.72,140.730864,964.898896,1127.08,849.480196,406.04,474.25,357.442225,709.98,829.26,303.94,355.01,267.571037,625.013262,433.78,506.68,381.884716,776.14,906.58,683.289346,2094.195648,2446.19,2087.637883,2438.53,1837.920061,1843.693403
"Belgium","Donor","DAC","EU","2018-04-10",2015,561.36,554.32,499.71948,426.84,421.49,379.973235,751.52,742.11,669.012165,1125.725289,1111.61,1002.116415,417.79,412.54,371.90481,730.92,721.76,650.66664,463464.102224,457652.8,412573.9992,1125.745543,1111.63,1002.134445,0.020254,0.02,0.01803,231.006554,228.11,205.641165,802.623974,792.56,714.49284,382.15,377.36,340.19004,617.24,609.51,235.09,232.15,209.283225,549.473265,408.24,403.12,363.41268,678.78,670.28,604.25742,1928.369517,1904.19,1928.349263,1904.17,1716.609255,1716.627285
"Belgium","Donor","DAC","EU","2018-04-10",2016,588.85,588.85,532.497055,471.4,471.4,426.28702,815.03,815.03,737.031629,1420.7,1420.7,1284.73901,463.88,463.88,419.486684,787.1,787.1,711.77453,461334.734048,461334.734048,417185,1425.17,1425.17,1288.781231,4.47,4.47,4.042221,376.02,376.02,340.034886,874.99,874.99,791.253457,398.1,398.1,360.00183,637.55,637.55,239.45,239.45,216.534635,576.536465,439.69,439.69,397.611667,693.93,693.93,627.520899,2300.16,2300.16,2295.69,2295.69,2075.992467,2080.034688
"Belgium","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,476.919818788918,497.82,441.616122,822.479554824518,858.523290188451,761.596010726174,1217.485804,1270.84,1127.362164,NA,NA,NA,NA,NA,NA,465235.790971,485623.94,430796.997174,1222.879437,1276.47,1132.356537,5.393633,5.63,4.994373,302.790723,316.06,280.376826,888.522066,927.46,822.749766,391.321036480473,408.47,362.353737,643.408598253511,671.604860531759,252.087561773037,263.134860531759,233.426934777723,595.780671777723,464.695527101668,485.06,430.296726,726.916359307449,758.77220390918,673.106822087834,2111.401503,2203.93,2106.00787,2198.3,1950.11193,1955.106303
"Bulgaria","Donor","Non-DAC","EU","2018-04-10",2010,0,0,0,0,0,0,0,0,0,0.215883,0.23,0.339618,0,0,0,0,0,0,43647.078452,46501.15,68663.59809,0.215883,0.23,0.339618,0,0,0,0,0,0,37.788988,40.26,59.447916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.004871,40.49,38.004871,40.49,59.787534,59.787534
"Bulgaria","Donor","Non-DAC","EU","2018-04-10",2011,12.84,14.52,20.423832,5.67,6.4,9.00224,18.04,20.39,28.680574,6.045652,6.83,9.607078,5.67,6.4,9.00224,16.23,18.31,25.754846,46121.069172,52104.7,73290.47102,6.045652,6.83,9.607078,0,0,0,0,0,0,36.778456,41.55,58.44423,5.67,6.4,9.00224,13.81,15.58,8.14,9.18,12.912588,21.914828,5.67,6.4,9.00224,15.19,17.17,24.151322,42.824108,48.38,42.824108,48.38,68.051308,68.051308
"Bulgaria","Donor","Non-DAC","EU","2018-04-10",2012,8.97,9.89,15.06247,0,0,0,13.9,15.31,23.31713,0.145023,0.16,0.24368,0.12,0.13,0.19799,12.01,13.25,20.17975,45099.917471,49757.68,75780.94664,0.145023,0.16,0.24368,0,0,0,0,0,0,36.065301,39.79,60.60017,0,0,0,7.77,8.57,7.77,8.57,13.05211,13.05211,0,0,0,10.05,11.07,16.85961,36.210324,39.95,36.210324,39.95,60.84385,60.84385
