"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant_Prices","Africa_Fragile_ODA_Current_Prices","Africa_ODA_Bilateral_Constant_Prices","Africa_ODA_Bilateral_Current_Prices","Africa_ODA_Constant_Prices","Africa_ODA_Current_Prices","Bilat_ODA_Ex_Debt_Relief_Constant_Prices","Bilat_ODA_Ex_Debt_Relief_Current_Prices","Fragile_State_ODA_Bilateral_Constant_Prices","Fragile_State_ODA_Bilateral_Current_Prices","Fragile_State_ODA_Constant_Prices","Fragile_State_ODA_Current_Prices","GNI_Constant_Prices","GNI_Current_Prices","IA_Bilateral_ODA_Constant_Prices","IA_Bilateral_ODA_Current_Prices","IA6_Debt_Relief_Constant_Prices","IA6_Debt_Relief_Current_Prices","IA82_In_Donor_Refugee_Cost_Constant_Prices","IA82_In_Donor_Refugee_Cost_Current_Prices","IB_Multilateral_ODA_Constant_Prices","IB_Multilateral_ODA_Current_Prices","LDC_ODA_Bilateral_Constant_Prices","LDC_ODA_Bilateral_Current_Prices","LDC_ODA_Constant_Prices","LDC_ODA_Current_Prices","LDC_ODA_Imputed_Multilateral_Constant_Prices","LDC_ODA_Imputed_Multilateral_Current_Prices","SSA_ODA_Bilateral_Constant_Prices","SSA_ODA_Bilateral_Current_Prices","SSA_ODA_Constant_Prices","SSA_ODA_Current_Prices","Total_ODA_ONE_Constant_Prices","Total_ODA_ONE_Current_Prices"
"All Donors, Total","Group","Group","Group","2018-01-02",NA,2013,NA,56700.92,NA,55723.17,NA,73752.82,NA,120576.484,NA,67836.24,NA,87798.57,NA,0,NA,124219.063,NA,3642.579,NA,4960.253,NA,42843.253,NA,44797.56,NA,60244.41,NA,15446.85,NA,45085.79,NA,61356.92,NA,163419.737
"All Donors, Total","Group","Group","Group","2018-01-02",NA,2014,NA,53842.65,NA,53834.32,NA,72990.24,NA,133492.92,NA,65044.34,NA,85553.36,NA,0,NA,134473.21,NA,980.29,NA,6787.21,NA,44121.5,NA,43221.88,NA,58090.77,NA,14868.89,NA,44073.88,NA,60687.56,NA,177614.42
"All Donors, Total","Group","Group","Group","2018-01-02",NA,2015,NA,49238.63,NA,50763.34,NA,66900.3,NA,123622.53,NA,63295.62,NA,80420.39,NA,0,NA,124532.13,NA,909.6,NA,12115.2,NA,38241.56,NA,42755.61,NA,55233.66,NA,12478.05,NA,42454.52,NA,56722.96,NA,161864.09
"All Donors, Total","Group","Group","Group","2018-01-02",NA,2016,NA,50525.89,NA,49586.7,NA,68381.07,NA,130084.02,NA,67217.03,NA,86781.27,NA,0,NA,133021.81,NA,2937.79,NA,16026.83,NA,43544.64,NA,42780.57,NA,57647.09,NA,14866.52,NA,41456.83,NA,57336.89,NA,173628.66
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2007,169.93702302577,NA,79.5081109544887,NA,217.735466083203,NA,2101.62151034148,NA,862.75392191808,NA,1086.36981937186,NA,879631.908390323,NA,2411.79565617958,NA,310.174145838101,NA,0,NA,425.826174023338,NA,544.009020773129,NA,717.837974868759,NA,173.82895409563,NA,70.2142646291947,NA,201.795562603094,NA,2527.44768436482,NA
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2008,144.983919992861,NA,70.8004471671161,NA,188.325137936794,NA,2427.75644929781,NA,1025.25935095133,NA,1173.86938826692,NA,946850.448691503,NA,2687.15551252383,NA,259.399063226015,NA,0,NA,304.978750243472,NA,635.704959242137,NA,754.880647563781,NA,119.175688321644,NA,66.0399020786262,NA,172.817915531521,NA,2732.73519954129,NA
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2009,204.340982373442,NA,100.267755527458,NA,244.373257901195,NA,2468.019182483,NA,1036.93748666749,NA,1234.4478618147,NA,1005380.84023866,NA,2471.18328223098,NA,3.16409974798801,NA,1.27205361490058,NA,480.846955958596,NA,607.314740142536,NA,758.037059218992,NA,150.722319076456,NA,94.4740323402635,NA,234.85957960488,NA,2948.86613844159,NA
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2010,284.321786737457,NA,163.743815408083,NA,370.334302986218,NA,2829.01040430549,NA,1200.9662558605,NA,1480.03464550685,NA,1022689.06835954,NA,2835.54048903123,NA,6.53008472573588,NA,4.77032609422978,NA,464.947208233076,NA,735.044279365858,NA,953.539016510064,NA,218.494737144206,NA,129.833956680384,NA,327.246095317723,NA,3293.95761253857,NA
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2011,350.959632019937,NA,284.647123108208,NA,440.08792837668,NA,3151.67457168898,NA,1287.29460545869,NA,1485.82863756061,NA,1064015.9348394,NA,3161.02831091483,NA,9.35373922584962,NA,0.0146725321189798,NA,494.567040134452,NA,820.231226781268,NA,985.502628569457,NA,165.271401788188,NA,221.679951519606,NA,373.584676547404,NA,3646.24161182343,NA
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2012,414.832599051129,NA,288.169459630083,NA,539.141568606263,NA,3323.45713849098,NA,1357.54928775471,NA,1689.80992879868,NA,1097794.94442681,NA,3329.6102491374,NA,6.1531106464164,NA,112.743468375875,NA,632.648315616763,NA,914.943351375833,NA,1158.39091741611,NA,243.447566040277,NA,270.098822403897,NA,514.045091094896,NA,3956.10545410774,NA
