"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant_Prices","Africa_Fragile_ODA_Current_Prices","Africa_ODA_Bilateral_Constant_Prices","Africa_ODA_Bilateral_Current_Prices","Africa_ODA_Constant_Prices","Africa_ODA_Current_Prices","Bilat_ODA_Ex_Debt_Relief_Constant_Prices","Bilat_ODA_Ex_Debt_Relief_Current_Prices","Fragile_State_ODA_Bilateral_Constant_Prices","Fragile_State_ODA_Bilateral_Current_Prices","Fragile_State_ODA_Constant_Prices","Fragile_State_ODA_Current_Prices","GNI_Constant_Prices","GNI_Current_Prices","IA_Bilateral_ODA_Constant_Prices","IA_Bilateral_ODA_Current_Prices","IA6_Debt_Relief_Constant_Prices","IA6_Debt_Relief_Current_Prices","IA82_In_Donor_Refugee_Cost_Constant_Prices","IA82_In_Donor_Refugee_Cost_Current_Prices","IB_Multilateral_ODA_Constant_Prices","IB_Multilateral_ODA_Current_Prices","LDC_ODA_Bilateral_Constant_Prices","LDC_ODA_Bilateral_Current_Prices","LDC_ODA_Constant_Prices","LDC_ODA_Current_Prices","LDC_ODA_Imputed_Multilateral_Constant_Prices","LDC_ODA_Imputed_Multilateral_Current_Prices","SSA_ODA_Bilateral_Constant_Prices","SSA_ODA_Bilateral_Current_Prices","SSA_ODA_Constant_Prices","SSA_ODA_Current_Prices","Total_ODA_ONE_Constant_Prices","Total_ODA_ONE_Current_Prices"
"Denmark","Donor","DAC","EU","2018-01-02",NA,2013,NA,785.86,NA,712.33,NA,1064.72,NA,2133.949,NA,746.17,NA,1116.38,NA,343665.19,NA,2134.52,NA,0.571,NA,161.922,NA,792.94,NA,639.73,NA,924.98,NA,285.25,NA,637.95,NA,952.04,NA,2926.889
"Denmark","Donor","DAC","EU","2018-01-02",NA,2014,NA,799.45,NA,635.33,NA,986.27,NA,2130.48,NA,786.32,NA,1169.78,NA,350846.82,NA,2130.71,NA,0.23,NA,256.25,NA,872.55,NA,613.68,NA,899.51,NA,285.83,NA,590.29,NA,896.86,NA,3003.03
"Denmark","Donor","DAC","EU","2018-01-02",NA,2015,NA,545.13,NA,417.95,NA,699.19,NA,1880.38,NA,539.77,NA,845.01,NA,302768.76,NA,1880.44,NA,0.06,NA,396.97,NA,685.13,NA,384.12,NA,609.53,NA,225.41,NA,381.82,NA,630.83,NA,2565.51
"Denmark","Donor","DAC","EU","2018-01-02",NA,2016,NA,613.7,NA,454.59,NA,769.88,NA,1649.4,NA,530.93,NA,857.47,NA,315039.67,NA,1653.69,NA,4.29,NA,411.55,NA,715.49,NA,405.22,NA,652.16,NA,246.94,NA,439.02,NA,699.66,NA,2364.89
"Denmark","Donor","DAC","EU","2018-04-09",2016,2017,NA,NA,431.511856444653,NA,708.247330558575,NA,1610.86839860569,NA,NA,NA,NA,NA,319847.552839752,NA,1613.18084352132,NA,2.31244491563507,NA,70.5681106754636,NA,700.555187191645,NA,454.9735371512,NA,689.050650631935,NA,234.077113480735,NA,379.963605200288,NA,612.772822121001,NA,2311.42358579733,NA
"Denmark","Donor","DAC","EU","2018-04-09",NA,2017,NA,NA,NA,447.85,NA,735.063387606689,NA,1671.86,NA,NA,NA,NA,NA,331957.8,NA,1674.26,NA,2.4,NA,73.24,NA,727.08,NA,472.2,NA,715.139872234526,NA,242.939872234526,NA,394.35,NA,635.973969864927,NA,2398.94
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2007,NA,4.32,NA,0.09,NA,6.15,NA,2.61,NA,0.6,NA,6.6,NA,20052.4,NA,2.61,NA,0,NA,0,NA,13.51,NA,0.56,NA,5.03,NA,4.47,NA,0.09,NA,4.98,NA,16.12
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2008,NA,0,NA,0,NA,0,NA,5.86,NA,0,NA,0,NA,21659.64,NA,5.86,NA,0,NA,0,NA,16.15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,22.01
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2009,NA,0,NA,0,NA,0,NA,3.61,NA,0,NA,0,NA,18544.55,NA,3.61,NA,0,NA,0,NA,14.83,NA,0,NA,0,NA,0,NA,0,NA,0,NA,18.44
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2010,NA,4.24,NA,0.09,NA,5.88,NA,4.91,NA,2.21,NA,8.19,NA,18336.47,NA,4.91,NA,0,NA,0,NA,13.85,NA,1.58,NA,6.31,NA,4.73,NA,0.09,NA,5.15,NA,18.76
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2011,NA,4.18,NA,0.54,NA,6.78,NA,7.27,NA,2.18,NA,7.58,NA,21075.77,NA,7.27,NA,0,NA,0,NA,16.94,NA,1.76,NA,5.86,NA,4.1,NA,0.4,NA,5.22,NA,24.21
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2012,NA,4.8,NA,0.51,NA,6.87,NA,8.6,NA,3.97,NA,9.69,NA,21848.59,NA,8.6,NA,0,NA,0,NA,14.64,NA,3.76,NA,7.55,NA,3.79,NA,0.48,NA,5.36,NA,23.24
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2013,NA,5.17,NA,0.86,NA,8.03,NA,11.44,NA,3.65,NA,10.2,NA,24251.89,NA,11.44,NA,0,NA,0.23,NA,19.23,NA,3.15,NA,7.89,NA,4.74,NA,0.68,NA,6.19,NA,30.67
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2014,NA,6,NA,1.28,NA,9.37,NA,14.98,NA,4.59,NA,12.24,NA,25876.5,NA,14.98,NA,0,NA,0.3,NA,22.55,NA,3.07,NA,8.51,NA,5.44,NA,1.11,NA,7.32,NA,37.53
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2015,NA,3.92,NA,0.49,NA,6.31,NA,15.04,NA,2.67,NA,8.09,NA,22000.22,NA,15.04,NA,0,NA,0.53,NA,18.85,NA,2.02,NA,5.83,NA,3.81,NA,0.29,NA,4.67,NA,33.89
"Estonia","Donor","Non-DAC","EU","2018-01-02",NA,2016,NA,5.16,NA,0.6,NA,9.01,NA,18.6,NA,2.77,NA,10.74,NA,22876,NA,18.6,NA,0,NA,2.48,NA,24.81,NA,1.49,NA,7,NA,5.51,NA,0.07,NA,5.83,NA,43.41
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2007,3289.81010447126,NA,4632.58718560237,NA,4718.87116285636,NA,10122.3214566902,NA,4592.10386950081,NA,4737.15568045984,NA,0,NA,10122.3214566902,NA,0,NA,0,NA,274.857587200795,NA,3412.09116721247,NA,3486.77528921263,NA,74.6841220001639,NA,3714.51851824843,NA,3796.78097403538,NA,10397.179043891,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2008,3392.40854493146,NA,4777.51413405816,NA,4847.18326897264,NA,10597.6279119494,NA,4820.72979446183,NA,4946.26733655072,NA,0,NA,10704.5066039352,NA,106.878691985825,NA,0,NA,273.676999349444,NA,3732.50206644893,NA,3795.30827165542,NA,62.8062052064897,NA,4093.20933319842,NA,4161.79703676497,NA,10871.3049112988,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2009,2967.30203000007,NA,4709.77026294266,NA,4867.28595077135,NA,11093.0039176865,NA,4289.55492824606,NA,4498.25894821365,NA,0,NA,11228.4025598569,NA,135.3986421704,NA,0,NA,360.255273029638,NA,3331.25201011691,NA,3445.63433922544,NA,114.382329108534,NA,3965.95661052043,NA,4121.56948153515,NA,11453.2591907161,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2010,3387.34041261257,NA,4911.28618047594,NA,4950.75366358828,NA,11117.440941943,NA,5010.93533612092,NA,5113.6238801447,NA,0,NA,11137.5133836704,NA,20.0724417274154,NA,0,NA,223.827334217965,NA,3938.26298062835,NA,3971.80321074393,NA,33.5402301155703,NA,4205.47067625277,NA,4244.28749850983,NA,11341.268276161,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2011,2875.94200098867,NA,5061.82268640463,NA,5133.95766531665,NA,14315.8721037829,NA,4291.21162512222,NA,4443.01368189803,NA,0,NA,14328.9103688211,NA,13.0382650381697,NA,0,NA,290.195968654195,NA,3314.50182499984,NA,3376.50713958497,NA,62.005314585132,NA,3782.60159958748,NA,3854.03044422277,NA,14606.0680724371,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2012,3942.08403296747,NA,6405.60143151925,NA,6484.46574233839,NA,15414.3806762862,NA,5219.12550237608,NA,5364.694903239,NA,0,NA,15421.510972664,NA,7.13029637786332,NA,0,NA,275.073184320317,NA,3366.04768390193,NA,3427.18503621993,NA,61.1373523180019,NA,4342.65582167147,NA,4420.69395205388,NA,15689.4538606065,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2013,3138.21144998186,NA,5094.02842696996,NA,5131.18973965078,NA,13503.0314510437,NA,4489.82859574261,NA,4598.85629726398,NA,0,NA,13503.0314510437,NA,0,NA,15.7061725515775,NA,203.06463084852,NA,3239.68150066914,NA,3275.60610684983,NA,35.9246061806915,NA,3865.48075445074,NA,3901.86053732939,NA,13706.0960818922,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2014,3668.72694764369,NA,5738.57600834137,NA,5752.8174052834,NA,13959.7205084966,NA,5238.80689017523,NA,5256.48939020613,NA,0,NA,13959.7205084966,NA,0,NA,23.942922729698,NA,52.6386561613424,NA,3766.9857724782,NA,3777.74347842185,NA,10.757705943653,NA,4336.5820270862,NA,4350.33792185975,NA,14012.3591646579,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2015,3278.31928081477,NA,5200.85589501469,NA,5281.49492749741,NA,13609.5296889688,NA,4864.15327147109,NA,4945.03343736767,NA,0,NA,13609.5296889688,NA,0,NA,0,NA,124.625786059764,NA,3421.85394541085,NA,3479.96709814946,NA,58.1131527386064,NA,3905.87903759314,NA,3986.03580324816,NA,13734.1554750286,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",2016,2016,3919.91,NA,6327.72,NA,6526.67,NA,16832.4,NA,5914.48,NA,6119.5,NA,0,NA,16832.4,NA,0,NA,0,NA,273.98,NA,4107.22,NA,4264.38,NA,157.16,NA,4255.03,NA,4450.97,NA,17106.38,NA
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2007,NA,3681.23,NA,5183.77,NA,5280.32,NA,11326.67,NA,5138.47,NA,5300.78,NA,0,NA,11326.67,NA,0,NA,0,NA,307.56,NA,3818.06,NA,3901.63,NA,83.57,NA,4156.47,NA,4248.52,NA,11634.23
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2008,NA,4078.05,NA,5743.1,NA,5826.85,NA,12739.52,NA,5795.05,NA,5945.96,NA,0,NA,12868,NA,128.48,NA,0,NA,328.99,NA,4486.88,NA,4562.38,NA,75.5,NA,4920.49,NA,5002.94,NA,13068.51
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2009,NA,3477.52,NA,5519.6,NA,5704.2,NA,13000.41,NA,5027.13,NA,5271.72,NA,0,NA,13159.09,NA,158.68,NA,0,NA,422.2,NA,3904.05,NA,4038.1,NA,134.05,NA,4647.89,NA,4830.26,NA,13422.61
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2010,NA,3800.38,NA,5510.15,NA,5554.43,NA,12473.06,NA,5621.95,NA,5737.16,NA,0,NA,12495.58,NA,22.52,NA,0,NA,251.12,NA,4418.48,NA,4456.11,NA,37.63,NA,4718.27,NA,4761.82,NA,12724.18
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2011,NA,3421.15,NA,6021.42,NA,6107.23,NA,17029.81,NA,5104.72,NA,5285.3,NA,0,NA,17045.32,NA,15.51,NA,0,NA,345.21,NA,3942.85,NA,4016.61,NA,73.76,NA,4499.69,NA,4584.66,NA,17375.02
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2012,NA,4389.74,NA,7133.01,NA,7220.83,NA,17164.81,NA,5811.8,NA,5973.9,NA,0,NA,17172.75,NA,7.94,NA,0,NA,306.31,NA,3748.29,NA,3816.37,NA,68.08,NA,4835.8,NA,4922.7,NA,17471.12
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2013,NA,3654.08,NA,5931.4,NA,5974.67,NA,15722.7,NA,5227.88,NA,5354.83,NA,0,NA,15722.7,NA,0,NA,18.288,NA,236.445,NA,3772.23,NA,3814.06,NA,41.83,NA,4500.9,NA,4543.26,NA,15959.145
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2014,NA,4307.24,NA,6737.33,NA,6754.05,NA,16389.3,NA,6150.58,NA,6171.34,NA,0,NA,16389.3,NA,0,NA,28.11,NA,61.8,NA,4422.6,NA,4435.23,NA,12.63,NA,5091.33,NA,5107.48,NA,16451.1
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2015,NA,3262.91,NA,5176.41,NA,5256.67,NA,13545.56,NA,4841.29,NA,4921.79,NA,0,NA,13545.56,NA,0,NA,0,NA,124.04,NA,3405.77,NA,3463.61,NA,57.84,NA,3887.52,NA,3967.3,NA,13669.6
"EU Institutions","Donor","Non-DAC","EU","2018-01-02",NA,2016,NA,3919.91,NA,6327.72,NA,6526.67,NA,16832.4,NA,5914.48,NA,6119.5,NA,0,NA,16832.4,NA,0,NA,0,NA,273.98,NA,4107.22,NA,4264.38,NA,157.16,NA,4255.03,NA,4450.97,NA,17106.38
"EU Institutions","Donor","Non-DAC","EU","2018-04-09",2016,2017,NA,NA,6172.91530145508,NA,6360.11438101844,NA,15625.3571721606,NA,NA,NA,NA,NA,0,NA,15625.3571721606,NA,0,NA,0,NA,341.545764866003,NA,4203.01149463065,NA,4360.82661972805,NA,157.815125097395,NA,4464.7593871869,NA,4645.64458444129,NA,15966.9029370266,NA
"EU Institutions","Donor","Non-DAC","EU","2018-04-09",NA,2017,NA,NA,NA,6359.51,NA,6552.36772772444,NA,16097.68,NA,NA,NA,NA,NA,0,NA,16097.68,NA,0,NA,0,NA,351.87,NA,4330.06,NA,4492.64555596439,NA,162.585555964385,NA,4599.72,NA,4786.07298957044,NA,16449.55
"Finland","Donor","DAC","EU","2018-01-02",2016,2007,310.242480220702,NA,221.041854236967,NA,399.626527405053,NA,563.827116945892,NA,232.404314927753,NA,423.036864852083,NA,240404.076132657,NA,563.827116945892,NA,0,NA,17.009902920275,NA,383.533730487858,NA,200.392488546577,NA,351.792209033905,NA,151.399720487329,NA,196.202762174614,NA,354.446989569136,NA,947.36084743375,NA
"Finland","Donor","DAC","EU","2018-01-02",2016,2008,307.813822325026,NA,230.891477005916,NA,424.335087033625,NA,614.241015822946,NA,230.384824165243,NA,423.250672181657,NA,236301.480484044,NA,616.143186137054,NA,1.90217031410787,NA,23.1549236834159,NA,420.032982211063,NA,204.527751998234,NA,361.73235094829,NA,157.204598950055,NA,198.15459258134,NA,371.634302957244,NA,1034.27399803401,NA
"Finland","Donor","DAC","EU","2018-01-02",2016,2009,351.392406417688,NA,281.338041266214,NA,490.443814645982,NA,714.912387401073,NA,274.424781547319,NA,482.518417556477,NA,215007.139725456,NA,714.912387401073,NA,0,NA,37.1327897842373,NA,451.015641896255,NA,241.964090161342,NA,407.665436835417,NA,165.701346674075,NA,239.849446012032,NA,423.561415718472,NA,1165.92802929733,NA
"Finland","Donor","DAC","EU","2018-01-02",2016,2010,395.861176247943,NA,295.679231596437,NA,510.993247598696,NA,794.449164712088,NA,316.082982728087,NA,550.219577500519,NA,229287.233820758,NA,794.449164712088,NA,0,NA,43.2786758342346,NA,467.600954588787,NA,268.127066495228,NA,454.989448088852,NA,186.862381593624,NA,269.196961566169,NA,465.754675484066,NA,1262.05011930087,NA
"Finland","Donor","DAC","EU","2018-01-02",2016,2011,341.620427473748,NA,285.703557010164,NA,494.987391053429,NA,737.923334119715,NA,284.516642306928,NA,491.224431846131,NA,232748.698128212,NA,737.923334119715,NA,0,NA,30.8975877154363,NA,498.259758850056,NA,241.61187377512,NA,404.438987137634,NA,162.827113362513,NA,237.15434966741,NA,420.853577885356,NA,1236.18309296977,NA
"Finland","Donor","DAC","EU","2018-01-02",2016,2012,372.085007317866,NA,298.800575045841,NA,526.672387834703,NA,737.857742787569,NA,279.825884022679,NA,504.676896439305,NA,228339.260861142,NA,737.857742787569,NA,0,NA,21.0837085307504,NA,481.276317164344,NA,247.594775463862,NA,410.81037478091,NA,163.215599317048,NA,239.816445453394,NA,436.427131454341,NA,1219.13405995191,NA
"Finland","Donor","DAC","EU","2018-01-02",2016,2013,385.959481780523,NA,283.279974844131,NA,516.371350875715,NA,717.031560744988,NA,291.425266119704,NA,532.757862981497,NA,233823.946436006,NA,717.031560744988,NA,0,NA,18.1847552118026,NA,534.723546764703,NA,254.012739811132,NA,443.717794540818,NA,189.705054729686,NA,251.143574040615,NA,457.113048715636,NA,1251.75510750969,NA
"Finland","Donor","DAC","EU","2018-01-02",2016,2014,450.625642112792,NA,343.040829590548,NA,615.679983985078,NA,804.607736436998,NA,343.856061080507,NA,621.129162891644,NA,236116.148621952,NA,804.607736436998,NA,0,NA,13.7988656405654,NA,598.088146570178,NA,278.955053095684,NA,487.010710717268,NA,208.055657621585,NA,278.096914685201,NA,515.955719302857,NA,1402.69588300718,NA
"Finland","Donor","DAC","EU","2018-01-02",2016,2015,365.186862111587,NA,264.051845687385,NA,508.683675286947,NA,702.199607619078,NA,269.827539591225,NA,531.001600511191,NA,235427.214896605,NA,702.199607619078,NA,0,NA,39.2827682937105,NA,593.809756169322,NA,237.215999621984,NA,431.788461326769,NA,194.572461704785,NA,214.052850899617,NA,434.193323422618,NA,1296.0093637884,NA
"Finland","Donor","DAC","EU","2018-01-02",2016,2016,251.18,NA,188.45,NA,356.92,NA,638.41,NA,226.11,NA,398.88,NA,240842.64,NA,638.41,NA,0,NA,130.19,NA,421.2,NA,195.43,NA,323.15,NA,127.72,NA,160.44,NA,292.75,NA,1059.61,NA
"Finland","Donor","DAC","EU","2018-01-02",NA,2007,NA,321.37,NA,228.97,NA,413.96,NA,584.05,NA,240.74,NA,438.21,NA,249026.69,NA,584.05,NA,0,NA,17.62,NA,397.29,NA,207.58,NA,364.41,NA,156.83,NA,203.24,NA,367.16,NA,981.34
"Finland","Donor","DAC","EU","2018-01-02",NA,2008,NA,346.3,NA,259.76,NA,477.39,NA,691.04,NA,259.19,NA,476.17,NA,265846.42,NA,693.18,NA,2.14,NA,26.05,NA,472.55,NA,230.1,NA,406.96,NA,176.86,NA,222.93,NA,418.1,NA,1163.59
"Finland","Donor","DAC","EU","2018-01-02",NA,2009,NA,388.84,NA,311.32,NA,542.71,NA,791.1,NA,303.67,NA,533.94,NA,237920.27,NA,791.1,NA,0,NA,41.09,NA,499.08,NA,267.75,NA,451.11,NA,183.36,NA,265.41,NA,468.7,NA,1290.18
"Finland","Donor","DAC","EU","2018-01-02",NA,2010,NA,418.1,NA,312.29,NA,539.7,NA,839.08,NA,333.84,NA,581.13,NA,242168.21,NA,839.08,NA,0,NA,45.71,NA,493.87,NA,283.19,NA,480.55,NA,197.36,NA,284.32,NA,491.92,NA,1332.95
"Finland","Donor","DAC","EU","2018-01-02",NA,2011,NA,388.56,NA,324.96,NA,563,NA,839.316,NA,323.61,NA,558.72,NA,264729,NA,839.316,NA,0,NA,35.143,NA,566.722,NA,274.81,NA,460.01,NA,185.2,NA,269.74,NA,478.68,NA,1406.038
"Finland","Donor","DAC","EU","2018-01-02",NA,2012,NA,402.78,NA,323.45,NA,570.12,NA,798.727,NA,302.91,NA,546.31,NA,247176.01,NA,798.727,NA,0,NA,22.823,NA,520.979,NA,268.02,NA,444.7,NA,176.68,NA,259.6,NA,472.43,NA,1319.706
"Finland","Donor","DAC","EU","2018-01-02",NA,2013,NA,442.57,NA,324.83,NA,592.11,NA,822.202,NA,334.17,NA,610.9,NA,268120.02,NA,822.202,NA,0,NA,20.852,NA,613.154,NA,291.27,NA,508.8,NA,217.53,NA,287.98,NA,524.16,NA,1435.356
"Finland","Donor","DAC","EU","2018-01-02",NA,2014,NA,525.12,NA,399.75,NA,717.46,NA,937.62,NA,400.7,NA,723.81,NA,275149.26,NA,937.62,NA,0,NA,16.08,NA,696.96,NA,325.07,NA,567.52,NA,242.45,NA,324.07,NA,601.25,NA,1634.58
"Finland","Donor","DAC","EU","2018-01-02",NA,2015,NA,362.93,NA,262.42,NA,505.54,NA,697.86,NA,268.16,NA,527.72,NA,233972.27,NA,697.86,NA,0,NA,39.04,NA,590.14,NA,235.75,NA,429.12,NA,193.37,NA,212.73,NA,431.51,NA,1288
"Finland","Donor","DAC","EU","2018-01-02",NA,2016,NA,251.18,NA,188.45,NA,356.92,NA,638.41,NA,226.11,NA,398.88,NA,240842.64,NA,638.41,NA,0,NA,130.19,NA,421.2,NA,195.43,NA,323.15,NA,127.72,NA,160.44,NA,292.75,NA,1059.61
"Finland","Donor","DAC","EU","2018-04-09",2016,2017,NA,NA,129.881615284085,NA,344.202394711463,NA,505.122169147191,NA,NA,NA,NA,NA,248090.894309324,NA,505.122169147191,NA,0,NA,75.2580518704386,NA,518.982169401258,NA,127.976594211296,NA,305.326615590483,NA,177.350021379187,NA,104.134672315624,NA,282.427546984251,NA,1024.10433854845,NA
"Finland","Donor","DAC","EU","2018-04-09",NA,2017,NA,NA,NA,133.63,NA,354.13607926486,NA,519.7,NA,NA,NA,NA,NA,255250.8,NA,519.7,NA,0,NA,77.43,NA,533.96,NA,131.67,NA,314.138344769691,NA,182.468344769691,NA,107.14,NA,290.578408814492,NA,1053.66
"France","Donor","DAC","EU","2018-01-02",2016,2007,2160.07403828706,NA,2471.11562984129,NA,4133.22078967159,NA,4184.23930960526,NA,1120.06963900534,NA,2853.31069898088,NA,2288435.92255383,NA,5500.41165925313,NA,1316.17234964787,NA,331.659928809082,NA,3185.99890803669,NA,1034.54660412602,NA,2404.94535652853,NA,1370.39875240252,NA,1910.42165633431,NA,3381.75006987692,NA,7370.23821764195,NA
"France","Donor","DAC","EU","2018-01-02",2016,2008,2062.02869352979,NA,2168.78171203392,NA,3950.89638154277,NA,4639.93118532432,NA,931.202759365514,NA,2730.80950936955,NA,2306850.32889511,NA,5433.26669450843,NA,793.335509184116,NA,302.815858334842,NA,3453.35382739268,NA,877.993268115384,NA,2387.80341671578,NA,1509.8101486004,NA,1649.78752865988,NA,3269.78882243836,NA,8093.28501271699,NA
"France","Donor","DAC","EU","2018-01-02",2016,2009,2514.79287820746,NA,2216.34674636853,NA,4687.74813166407,NA,4874.06093394764,NA,922.282093077813,NA,3292.59402985832,NA,2257465.34954925,NA,6058.74901272129,NA,1184.68807877366,NA,319.260896944732,NA,4564.91656925359,NA,863.226836064402,NA,2689.17660287876,NA,1825.94976681435,NA,1633.34785364828,NA,3901.50810602743,NA,9438.97750320123,NA
"France","Donor","DAC","EU","2018-01-02",2016,2010,2520.16666488948,NA,2380.09017649743,NA,4604.60898824192,NA,5768.98712509941,NA,1106.17808342954,NA,3444.58905939313,NA,2285865.58781405,NA,7063.92735258348,NA,1294.94022748408,NA,381.137128550896,NA,4261.36283917907,NA,937.725013314895,NA,2871.05063925529,NA,1933.32562594039,NA,1807.6917302854,NA,3862.63503604983,NA,10030.3499642785,NA
"France","Donor","DAC","EU","2018-01-02",2016,2011,2381.7609331461,NA,2806.15567165759,NA,4514.14465146199,NA,5994.32949843321,NA,1436.73250574897,NA,3001.25676649605,NA,2340551.07531842,NA,7029.43195633959,NA,1035.10245790638,NA,451.37970989327,NA,3725.86241477743,NA,830.443668512275,NA,2032.2885898786,NA,1201.84492136632,NA,1882.64240083594,NA,3371.8801636893,NA,9720.19191321064,NA
"France","Donor","DAC","EU","2018-01-02",2016,2012,2004.82788279288,NA,2349.04459951403,NA,4071.597077078,NA,5711.51099635254,NA,1031.26974379304,NA,2652.38889940908,NA,2351176.62830435,NA,7016.33126921287,NA,1304.82027286033,NA,448.57897782678,NA,3627.19471339755,NA,1081.30947471998,NA,2196.27077909782,NA,1114.96130437783,NA,1427.19860685142,NA,2875.77581492644,NA,9338.70570975009,NA
"France","Donor","DAC","EU","2018-01-02",2016,2013,2259.82271280588,NA,2598.5483069803,NA,4298.12718428552,NA,5189.74299386821,NA,1223.76140150103,NA,2974.85812592745,NA,2375182.76827649,NA,5781.54363605433,NA,591.800642186117,NA,384.955635865021,NA,3858.02364837508,NA,880.487614552717,NA,2193.48710866616,NA,1312.99949411344,NA,1757.99127459396,NA,3233.96909332134,NA,9047.7666422433,NA
"France","Donor","DAC","EU","2018-01-02",2016,2014,2109.56349095317,NA,2273.35034312178,NA,3809.22001899603,NA,5484.08521964236,NA,1275.1843431002,NA,2804.75257274094,NA,2440281.54929438,NA,5509.47708755241,NA,25.3918679100483,NA,410.321420447819,NA,3473.52633025053,NA,1056.79059578592,NA,2155.1622783959,NA,1098.37168260997,NA,1597.67459886516,NA,2890.41840824825,NA,8957.61154989289,NA
