"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"All Donors, Total","Group","Group","Group","2018-04-10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,132088.77072,133561.26,NA,NA,NA,NA,NA,NA,NA,0,0,NA,132929.088666,134488.48,NA,840.317946,927.22,NA,0,0,NA,42395.462753,43106.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174484.233473,176667.79,NA
"Australia","Donor","DAC","Non-EU","2018-04-10",2007,169.937023001241,159.81,191.004912,79.5081109430123,74.77,89.365104,217.735466051775,204.76,244.729152,2101.62151,1976.38,2362.169376,862.753921793548,811.34,969.713568,1086.36981921506,1021.63,1221.052176,879631.90839,827212.18,988683.997536,2411.795656,2268.07,2710.797264,310.174146,291.69,348.627888,0,0,0,425.826174,400.45,478.61784,544.009020694606,511.59,611.452368,717.837974765145,675.06,173.828954070539,163.47,195.379344,806.831712,70.2142646190598,66.03,78.919056,201.795562573966,189.77,226.813104,2527.447684,2376.83,2840.787216
"Australia","Donor","DAC","Non-EU","2018-04-10",2008,144.983920017198,143.14,173.614506,70.8004471790006,69.9,84.78171,188.325137968406,185.93,225.514497,2427.75645,2396.88,2907.175752,1025.25935112343,1012.22,1227.721638,1173.86938846396,1158.94,1405.678326,946850.448692,934808.31,1133828.999199,2687.155513,2652.98,3217.799442,259.399063,256.1,310.62369,0,0,0,304.97875,301.1,365.20419,635.704959348846,627.62,761.240298,754.880647690494,745.28,119.175688341648,117.66,142.709814,903.950112,66.0399020897116,65.2,79.08108,172.81791556053,170.62,206.944998,2732.7352,2697.98,3272.379942
"Australia","Donor","DAC","Non-EU","2018-04-10",2009,204.340982342842,191.16,244.6848,100.267755512443,93.8,120.064,244.3732578646,228.61,292.6208,2468.019182,2308.82,2955.2896,1036.93748651221,970.05,1241.664,1234.44786162984,1154.82,1478.1696,1005380.840239,940528.91,1203877.0048,2471.183282,2311.78,2959.0784,3.1641,2.96,3.7888,1.272054,1.19,1.5232,480.846956,449.83,575.7824,607.31474005159,568.14,727.2192,758.037059105475,709.14,150.722319053885,141,180.48,907.6992,94.474032326116,88.38,113.1264,234.85957956971,219.71,281.2288,2948.866138,2758.65,3531.072
"Australia","Donor","DAC","Non-EU","2018-04-10",2010,284.321786690969,329.6,359.32992,163.74381538131,189.82,206.941764,370.334302925668,429.31,468.033762,2829.010404,3279.53,3575.343606,1200.96625566414,1392.22,1517.798244,1480.03464526486,1715.73,1870.488846,1022689.06836,1185552.19,1292488.997538,2835.540489,3287.1,3583.59642,6.530085,7.57,8.252814,4.770326,5.53,6.028806,464.947208,538.99,587.606898,735.044279245676,852.1,928.95942,953.539016354158,1105.39,218.494737108482,253.29,276.136758,1205.096178,129.833956659156,150.51,164.086002,327.246095264218,379.36,413.578272,3293.957612,3818.52,4162.950504
"Australia","Donor","DAC","Non-EU","2018-04-10",2011,350.959632036932,478.39,463.655588,284.647123121992,388,376.0496,440.087928397991,599.88,581.403696,3151.674572,4296.02,4163.702584,1287.29460552103,1754.7,1700.65524,1485.82863763256,2025.32,1962.940144,1064015.934839,1450350.8,1405679.99536,3161.028311,4308.77,4176.059884,9.353739,12.75,12.3573,0.014673,0.02,0.019384,494.56704,674.14,653.376488,820.231226820987,1118.05,1083.61406,985.502628617179,1343.33,165.271401796192,225.28,218.341376,1301.955436,221.679951530341,302.17,292.863164,373.584676565495,509.23,493.545716,3646.241612,4970.16,4817.079072
"Australia","Donor","DAC","Non-EU","2018-04-10",2012,414.832599039831,565.64,546.40824,288.169459622235,392.93,379.57038,539.14156859158,735.14,710.14524,3323.457138,4531.66,4377.58356,1357.54928771774,1851.07,1788.13362,1689.80992875266,2304.12,2225.77992,1097794.944427,1496885.09,1445990.99694,3329.610249,4540.05,4385.6883,6.153111,8.39,8.10474,112.743468,153.73,148.50318,632.648316,862.64,833.31024,914.943351350915,1247.56,1205.14296,1158.39091738456,1579.51,243.447566033647,331.95,320.6637,1525.80666,270.098822396541,368.29,355.76814,514.045091080897,700.92,677.08872,3956.105454,5394.3,5210.8938
"Australia","Donor","DAC","Non-EU","2018-04-10",2013,367.30350815616,472.76,490.110292,245.25488285738,315.67,327.255089,453.030450135073,583.1,604.49977,3223.718378,4149.28,4301.558576,1228.44983061408,1581.15,1639.178205,1530.20338322592,1969.54,2041.822118,1137713.15341,1464361.92,1518104.002464,3223.718378,4149.28,4301.558576,0,0,0,266.146649,342.56,355.131952,540.948347,696.26,721.812742,772.863266294572,994.76,1031.267692,1009.51748531557,1299.36,236.654219020997,304.6,315.77882,1347.046512,240.585507097971,309.66,321.024522,441.912518834382,568.79,589.664593,3764.666725,4845.54,5023.371318
"Australia","Donor","DAC","Non-EU","2018-04-10",2014,324.420026974795,390.88,433.642272,152.142435388737,183.31,203.364114,415.941200671353,501.15,555.97581,2903.487864,3498.29,3881.002926,1145.79496428378,1380.52,1531.548888,1510.27781028762,1819.67,2018.741898,1157226.18885,1394293,1546828.6542,2903.487864,3498.29,3881.002926,0,0,0,0,0,0,733.804437,884.13,980.853822,735.22369191402,885.84,982.750896,1011.43056045921,1218.63,276.206868545185,332.79,369.197226,1351.948122,136.289942257294,164.21,182.174574,386.917028691951,466.18,517.180092,3637.292301,4382.42,4861.856748
"Australia","Donor","DAC","Non-EU","2018-04-10",2015,295.515763179414,294.9,392.48241,102.6338571205,102.42,136.310778,362.555453097022,361.8,481.51962,2750.110377,2744.38,3652.495342,1063.81666392426,1061.6,1412.88344,1403.88526138973,1400.96,1864.537664,1202597.510406,1200091.67,1597202.003603,2757.936685,2752.19,3662.889671,7.826308,7.81,10.394329,0,0,0,742.968115,741.42,986.755878,680.16725757215,678.75,903.348375,932.974028460256,931.03,252.806770888106,252.28,335.759452,1239.107827,91.2000325770039,91.01,121.125209,336.360871715164,335.66,446.729894,3493.078492,3485.8,4639.25122
