"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2012,3942.08403306635,4389.74,3415.21772,6405.60143167992,7133.01,5549.48178,6484.46574250103,7220.83,5617.80574,15414.380677,17164.81,13354.22218,5219.12550250698,5811.8,4521.5804,5364.69490337356,5973.9,4647.6942,0,0,0,15421.510973,17172.75,13360.3995,7.130296,7.94,6.17732,0,0,0,275.073184,306.31,238.30918,3366.04768398635,3748.29,2916.16962,3427.18503630589,3816.37,61.1373523195353,68.08,52.96624,2969.13586,4342.65582178039,4835.8,3762.2524,4420.69395216475,4922.7,3829.8606,15689.453861,17471.12,13592.53136
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2013,3138.21145000654,3654.08,2752.253056,5094.02842701002,5931.4,4467.53048,5131.18973969113,5974.67,4500.121444,13503.031451,15722.7,11842.33764,4489.82859577792,5227.88,3937.639216,4598.85629730014,5354.83,4033.257956,0,0,0,13503.031451,15722.7,11842.33764,0,0,0,15.70643,18.2883,13.774748,203.064631,236.445,178.090374,3239.68150069461,3772.23,2841.243636,3275.60610687558,3814.06,35.924606180974,41.83,31.506356,2872.749992,3865.48075448113,4500.9,3390.07788,3901.86053736007,4543.26,3421.983432,13706.096082,15959.145,12020.428014
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2014,3668.72694747144,4307.24,3246.366788,5738.57600807193,6737.33,5077.925621,5752.81740501329,6754.05,5090.527485,13959.720508,16389.3,12352.61541,5238.80688992925,6150.58,4635.692146,5256.48938995932,6171.34,4651.338958,0,0,0,13959.720508,16389.3,12352.61541,0,0,0,23.942923,28.11,21.186507,52.638656,61.8,46.57866,3766.98577230133,4422.6,3333.31362,3777.74347824448,4435.23,10.7577059431479,12.63,9.519231,3342.832851,4336.58202688259,5091.33,3837.335421,4350.33792165549,5107.48,3849.507676,14012.359164,16451.1,12399.19407
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2015,3278.31928080794,3262.91,2941.513365,5200.85589500386,5176.41,4666.533615,5281.49492748641,5256.67,4738.888005,13609.529689,13545.56,12211.32234,4864.15327146096,4841.29,4364.422935,4945.03343735737,4921.79,4436.993685,0,0,0,13609.529689,13545.56,12211.32234,0,0,0,0,0,0,124.625786,124.04,111.82206,3421.85394540372,3405.77,3070.301655,3479.96709814221,3463.61,58.1131527384854,57.84,52.14276,3122.444415,3905.87903758501,3887.52,3504.59928,3986.03580323985,3967.3,3576.52095,13734.155475,13669.6,12323.1444
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2016,3919.91,3919.91,3544.774613,6327.72,6327.72,5722.157196,6526.67,6526.67,5902.067681,16832.4,16832.4,15221.53932,5914.48,5914.48,5348.464264,6119.5,6119.5,5533.86385,0,0,0,16832.4,16832.4,15221.53932,0,0,0,0,0,0,273.98,273.98,247.760114,4107.22,4107.22,3714.159046,4264.38,4264.38,157.16,157.16,142.119788,3856.278834,4255.03,4255.03,3847.823629,4450.97,4450.97,4025.012171,17106.38,17106.38,15469.299434
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2017,NA,NA,NA,6172.91530144477,6359.51,5641.521321,6360.11438100783,6552.36772772444,5812.60541126435,15625.357172,16097.68,14280.251928,NA,NA,NA,NA,NA,NA,0,0,0,15625.357172,16097.68,14280.251928,0,0,0,0,0,0,341.545765,351.87,312.143877,4203.01149462364,4330.06,3841.196226,4360.82661972077,4492.64555596439,157.815125097131,162.585555964385,144.229646696006,3985.42587269601,4464.75938717945,4599.72,4080.411612,4645.64458443353,4786.07298957044,4245.72534904794,15966.902937,16449.55,14592.395805
"Finland","Donor","DAC","EU","2018-04-10",2007,310.242480078658,321.37,234.760785,221.041854135763,228.97,167.262585,399.626527222084,413.96,302.39778,563.827117,584.05,426.648525,232.404314821346,240.74,175.86057,423.036864658396,438.21,320.112405,240404.076133,249026.69,181913.997045,563.827117,584.05,426.648525,0,0,0,17.009903,17.62,12.87141,383.53373,397.29,290.220345,200.392488454827,207.58,151.63719,351.792208872837,364.41,151.39972041801,156.83,114.564315,266.201505,196.202762084782,203.24,148.46682,354.446989406852,367.16,268.21038,947.360847,981.34,716.86887
"Finland","Donor","DAC","EU","2018-04-10",2008,307.813822314905,346.3,240.08979,230.891476998324,259.76,180.091608,424.335087019672,477.39,330.974487,614.241016,691.04,479.098032,230.384824157667,259.19,179.696427,423.250672167739,476.17,330.128661,236301.480484,265846.42,184311.322986,616.143186,693.18,480.581694,1.90217,2.14,1.483662,23.154924,26.05,18.060465,420.032982,472.55,327.618915,204.527751991509,230.1,159.52833,361.732350936395,406.96,157.204598944886,176.86,122.617038,282.145368,198.154592574824,222.93,154.557369,371.634302945024,418.1,289.86873,1034.273998,1163.59,806.716947
"Finland","Donor","DAC","EU","2018-04-10",2009,351.392406328078,388.84,279.226004,281.338041194469,311.32,223.558892,490.443814520912,542.71,389.720051,714.912387,791.1,568.08891,274.424781477336,303.67,218.065427,482.518417433428,533.94,383.422314,215007.139725,237920.27,170850.545887,714.912387,791.1,568.08891,0,0,0,37.13279,41.09,29.506729,451.015642,499.08,358.389348,241.964090099637,267.75,192.271275,407.665436731456,451.11,165.701346631819,183.36,131.670816,323.942091,239.849445950867,265.41,190.590921,423.561415610457,468.7,336.57347,1165.928029,1290.18,926.478258
"Finland","Donor","DAC","EU","2018-04-10",2010,395.861176467234,418.1,315.6655,295.679231760231,312.29,235.77895,510.993247881766,539.7,407.4735,794.449165,839.08,633.5054,316.082982903185,333.84,252.0492,550.219577805319,581.13,438.75315,229287.233821,242168.21,182836.99855,794.449165,839.08,633.5054,0,0,0,43.278676,45.71,34.51105,467.600955,493.87,372.87185,268.12706664376,283.19,213.80845,454.989448340898,480.55,186.862381697138,197.36,149.0068,362.81525,269.196961715293,284.32,214.6616,465.754675742076,491.92,371.3996,1262.05012,1332.95,1006.37725
"Finland","Donor","DAC","EU","2018-04-10",2011,341.620427482102,388.56,279.452351834189,285.70355701715,324.96,233.711231861329,494.987391065533,563,404.90959975975,737.923334,839.316,603.636067,284.516642313885,323.61,232.740311861906,491.224431858143,558.72,401.831423761577,232748.698128,264729,190393.0968,737.923334,839.316,603.636067,0,0,0,30.897412,35.1428,25.274702,498.259759,566.722,407.586462,241.611873781029,274.81,197.64335188273,404.438987147524,460.01,162.827113366495,185.2,133.195839920969,330.839191803699,237.154349673209,269.74,193.997007884894,420.853577895647,478.68,344.266655795732,1236.183093,1406.038,1011.222529
"Finland","Donor","DAC","EU","2018-04-10",2012,372.085007332542,402.78,313.36284,298.800575057626,323.45,251.6441,526.672387855477,570.12,443.55336,737.857743,798.727,621.409606,279.825884033717,302.91,235.66398,504.676896459211,546.31,425.02918,228339.260861,247176.01,192302.93578,737.857743,798.727,621.409606,0,0,0,21.083247,22.8225,17.755905,481.276317,520.979,405.321662,247.594775473628,268.02,208.51956,410.810374797114,444.7,163.215599323486,176.68,137.45704,345.9766,239.816445462853,259.6,201.9688,436.427131471555,472.43,367.55054,1219.13406,1319.706,1026.731268
"Finland","Donor","DAC","EU","2018-04-10",2013,385.959481931702,442.57,333.343723938333,283.279974955091,324.83,244.661955954739,516.371351077976,592.11,445.977251917496,717.031561,822.202,619.282546,291.425266233854,334.17,251.696843953437,532.757863190177,610.9,460.129879914878,233823.946436,268120.02,201947.999064,717.031561,822.202,619.282546,0,0,0,18.184755,20.852,15.705726,534.723547,613.154,461.827593,254.012739910628,291.27,219.384563959415,443.717794714621,508.8,189.705054803993,217.53,163.84359596969,383.228159929105,251.143574138987,287.98,216.906535959873,457.113048894685,524.16,394.797311926964,1251.755108,1435.356,1081.110139
"Finland","Donor","DAC","EU","2018-04-10",2014,450.625642110487,525.12,395.782944,343.040829588793,399.75,301.291575,615.679983981928,717.46,540.749602,804.607736,937.62,706.684194,343.856061078748,400.7,302.00759,621.129162888467,723.81,545.535597,236116.148622,275149.26,207379.997262,804.607736,937.62,706.684194,0,0,0,13.798866,16.08,12.119496,598.088147,696.96,525.298752,278.955053094257,325.07,245.005259,487.010710714777,567.52,208.05565762052,242.45,182.734565,427.739824,278.096914683778,324.07,244.251559,515.955719300218,601.25,453.162125,1402.695883,1634.58,1231.982946
"Finland","Donor","DAC","EU","2018-04-10",2015,365.186862171211,362.93,327.181395,264.051845730497,262.42,236.57163,508.68367537,505.54,455.74431,702.199608,697.86,629.12079,269.82753963528,268.16,241.74624,531.001600597888,527.72,475.73958,235427.214897,233972.27,210926.001405,702.199608,697.86,629.12079,0,0,0,39.282768,39.04,35.19456,593.809756,590.14,532.01121,237.215999660714,235.75,212.528625,431.788461397267,429.12,194.572461736553,193.37,174.323055,386.85168,214.052850934565,212.73,191.776095,434.193323493509,431.51,389.006265,1296.009364,1288,1161.132
"Finland","Donor","DAC","EU","2018-04-10",2016,251.18,251.18,227.142074,188.45,188.45,170.415335,356.92,356.92,322.762756,638.41,638.41,577.314163,226.11,226.11,204.471273,398.88,398.88,360.707184,240842.64,240842.64,217793.999352,638.41,638.41,577.314163,0,0,0,130.19,130.19,117.730817,421.2,421.2,380.89116,195.43,195.43,176.727349,323.15,323.15,127.72,127.72,115.497196,292.224545,160.44,160.44,145.085892,292.75,292.75,264.733825,1059.61,1059.61,958.205323
"Finland","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,129.881615214528,133.63,118.543173,344.202394527129,354.13607926486,314.154115915857,505.122169,519.7,461.02587,NA,NA,NA,NA,NA,NA,248090.894309,255250.8,226432.98468,505.122169,519.7,461.02587,0,0,0,75.258052,77.43,68.688153,518.982169,533.96,473.675916,127.97659414276,131.67,116.804457,305.326615426969,314.138344769691,177.350021284209,182.468344769691,161.867668645193,278.672125645193,104.134672259856,107.14,95.043894,282.427546832999,290.578408814492,257.772106459335,1024.104338,1053.66,934.701786
"France","Donor","DAC","EU","2018-04-10",2007,2160.07403809892,2457.78,1795.40829,2471.11562962606,2811.69,2053.939545,4133.22078931159,4702.87,3435.446535,4184.239309,4760.92,3477.85206,1120.06963890779,1274.44,930.97842,2853.31069873236,3246.56,2371.61208,2288435.922554,2603832.99,1902099.999195,5500.411659,6258.49,4571.826945,1316.17235,1497.57,1093.974885,331.659929,377.37,275.668785,3185.998908,3625.1,2648.13555,1034.54660403591,1177.13,859.893465,2404.94535631906,2736.4,1370.39875228316,1559.27,1139.046735,1998.9402,1910.42165616791,2173.72,1587.90246,3381.75006958237,3847.83,2810.839815,7370.238217,8386.02,6125.98761
"France","Donor","DAC","EU","2018-04-10",2008,2062.02869360189,2530.96,1754.714568,2168.78171210975,2661.99,1845.557667,3950.89638168092,4849.38,3362.075154,4639.931186,5695.11,3948.419763,931.202759398076,1142.97,792.421101,2730.80950946504,3351.83,2323.823739,2306850.328895,2831457.16,1963049.249028,5433.266695,6668.86,4623.520638,793.335509,973.75,675.100875,302.815858,371.68,257.685744,3453.353827,4238.69,2938.683777,877.993268146085,1077.66,747.141678,2387.80341679928,2930.82,1509.81014865319,1853.16,1284.795828,2031.937506,1649.78752871757,2024.97,1403.911701,3269.78882255269,4013.38,2782.476354,8093.285013,9933.8,6887.10354
"France","Donor","DAC","EU","2018-04-10",2009,2514.79287815385,2982.99,2142.085119,2216.34674632128,2628.98,1887.870538,4687.74813156413,5560.5,3992.99505,4874.060934,5781.5,4151.69515,922.282093058151,1093.99,785.594219,3292.59402978813,3905.6,2804.61136,2257465.349549,2677753.95,1922895.111495,6058.749013,7186.75,5160.805175,1184.688079,1405.25,1009.110025,319.260897,378.7,271.94447,4564.916569,5414.8,3888.36788,863.226836045999,1023.94,735.291314,2689.17660282143,3189.84,1825.94976677543,2165.9,1555.33279,2290.624104,1633.34785361345,1937.44,1391.275664,3901.50810594425,4627.88,3323.280628,9438.977503,11196.3,8040.06303
"France","Donor","DAC","EU","2018-04-10",2010,2520.16666507076,2873.94,2169.8247,2380.09017666864,2714.2,2049.221,4604.60898857315,5250.99,3964.49745,5768.987126,6578.82,4967.0091,1106.17808350911,1261.46,952.4023,3444.58905964092,3928.13,2965.73815,2285865.587814,2606748.45,1968095.07975,7063.927353,8055.54,6081.9327,1294.940227,1476.72,1114.9236,381.137129,434.64,328.1532,4261.362839,4859.56,3668.9678,937.72501338235,1069.36,807.3668,2871.05063946181,3274.08,1933.32562607946,2204.72,1664.5636,2471.9304,1807.69173041543,2061.45,1556.39475,3862.63503632769,4404.86,3325.6693,10030.349965,11438.38,8635.9769
"France","Donor","DAC","EU","2018-04-10",2011,2381.76093309449,2878.24,2070.030208,2806.15567159678,3391.1,2438.87912,4514.14465136417,5455.12,3923.322304,5994.329498,7243.85,5209.77692,1436.73250571784,1736.22,1248.689424,3001.25676643102,3626.87,2608.444904,2340551.075318,2828439.93,2034213.997656,7029.431956,8494.72,6109.402624,1035.102458,1250.87,899.625704,451.37971,545.47,392.302024,3725.862415,4502.52,3238.212384,830.44366849428,1003.55,721.75316,2032.28858983456,2455.92,1201.84492134028,1452.37,1044.544504,1766.297664,1882.64240079514,2275.08,1636.237536,3371.88016361623,4074.75,2930.5602,9720.191913,11746.37,8447.989304
"France","Donor","DAC","EU","2018-04-10",2012,2004.82788263185,2265.66,1762.68348,2349.04459932535,2654.66,2065.32548,4071.59707675096,4601.32,3579.82696,5711.510996,6454.59,5021.67102,1031.26974371021,1165.44,906.71232,2652.38889919604,2997.47,2332.03166,2351176.628304,2657069.41,2067200.00098,7016.331269,7929.17,6168.89426,1304.820273,1474.58,1147.22324,448.578978,506.94,394.39932,3627.194713,4099.1,3189.0998,1081.30947463313,1221.99,950.70822,2196.27077892141,2482.01,1114.96130428828,1260.02,980.29556,1931.00378,1427.19860673678,1612.88,1254.82064,2875.77581469546,3249.92,2528.43776,9338.705709,10553.69,8210.77082
"France","Donor","DAC","EU","2018-04-10",2013,2259.82271274511,2658.21,2002.163772,2598.54830691042,3056.65,2302.26878,4298.12718416994,5055.85,3808.06622,5189.742994,6104.65,4598.02238,1223.76140146813,1439.5,1084.2314,2974.85812584746,3499.3,2635.67276,2375182.768276,2793907.04,2104370.782528,5781.543636,6800.78,5122.347496,591.800642,696.13,524.325116,384.955636,452.82,341.064024,3858.023648,4538.16,3418.142112,880.487614529041,1035.71,780.096772,2193.48710860718,2580.18,1312.99949407814,1544.47,1163.294804,1943.391576,1757.99127454669,2067.91,1557.549812,3233.96909323438,3804.09,2865.240588,9047.766642,10642.81,8016.164492
"France","Donor","DAC","EU","2018-04-10",2014,2109.5634909784,2494.07,1879.780559,2273.35034314897,2687.71,2025.727027,3809.22001904158,4503.52,3394.303024,5484.08522,6483.66,4886.734542,1275.18434311545,1507.61,1136.285657,2804.75257277447,3315.97,2499.246589,2440281.549294,2885067.47,2174475.352139,5509.477088,6513.68,4909.360616,25.391868,30.02,22.626074,410.32142,485.11,365.627407,3473.52633,4106.64,3095.174568,1056.79059579856,1249.41,941.680317,2155.16227842167,2547.98,1098.37168262311,1298.57,978.732209,1920.412526,1597.67459888426,1888.88,1423.648856,2890.41840828282,3417.25,2575.581325,8957.61155,10590.3,7981.90911
"France","Donor","DAC","EU","2018-04-10",2015,2297.03714269763,2295.34,2069.24901,1993.27270941348,1991.8,1795.6077,3727.22382168352,3724.47,3357.609705,5022.050491,5018.34,4524.03351,1215.69820634376,1214.8,1095.1422,3007.24187028904,3005.02,2709.02553,2460480.461384,2458662.56,2216484.29784,5161.303377,5157.49,4649.477235,139.252886,139.15,125.443725,363.618656,363.35,327.560025,3884.680157,3881.81,3499.451715,960.949988195201,960.24,865.65636,2250.11247287918,2248.45,1289.16248468397,1288.21,1161.321315,2026.977675,1517.61127176346,1516.49,1367.115735,3036.24329770083,3034,2735.151,8906.730648,8900.15,8023.485225
"France","Donor","DAC","EU","2018-04-10",2016,2329.8,2329.8,2106.83814,2205.76,2205.76,1994.668768,3903.28,3903.28,3529.736104,5554.24,5554.24,5022.699232,1381.13,1381.13,1248.955859,3026.7,3026.7,2737.04481,2503949.61,2503949.61,2264321.632323,5641.5,5641.5,5101.60845,87.26,87.26,78.909218,466.57,466.57,421.919251,3980.17,3980.17,3599.267731,883.98,883.98,799.383114,2100.92,2100.92,1216.94,1216.94,1100.478842,1899.861956,1450.75,1450.75,1311.913225,2772.47,2772.47,2507.144621,9534.41,9534.41,8621.966963
"France","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,2140.76081824857,2200.06,1951.673226,4045.49683225558,4157.55729687442,3688.1690780573,6315.412751,6490.35,5757.589485,NA,NA,NA,NA,NA,NA,2549162.209343,2619774.13,2324001.630723,6361.827072,6538.05,5799.904155,46.414321,47.7,42.31467,551.007076,566.27,502.338117,4694.939929,4824.99,4280.248629,846.667274153636,870.12,771.883452,2376.27131699649,2442.09415134403,1529.60404284286,1571.97415134403,1394.49826965729,2166.38172165729,1456.6604331365,1497.01,1327.997571,2980.89148130242,3063.46232444577,2717.59742801585,11010.35268,11315.34,10037.838114
"G7 Countries, Total","Group","Group","Group","2018-04-10",2007,NA,17045.15,NA,NA,14307.08,NA,NA,23964.47,NA,42712.397845,42248.52,NA,NA,19106.7,NA,NA,29690.42,NA,31460624.707366,30675954.41,NA,49003.804853,48911.63,NA,6291.407008,6663.11,NA,1050.989903,1050.38,NA,19145.540902,20645.56,NA,NA,11885.25,NA,NA,20317.07,NA,8431.82,NA,NA,NA,12103.5,NA,NA,20775.29,NA,61857.938747,62894.08,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2008,NA,19968.7,NA,NA,17409.42,NA,NA,28576.66,NA,50523.365425,51492.98,NA,NA,21842.6,NA,NA,33677.8,NA,31811394.838171,32314440.49,NA,56720.125928,58537.44,NA,6196.760503,7044.46,NA,1151.607701,1184.48,NA,20991.884513,23543.69,NA,NA,14946.18,NA,NA,24771.87,NA,9825.69,NA,NA,NA,15190.26,NA,NA,25421.66,NA,71515.249938,75036.67,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2009,NA,20209.83,NA,NA,17948.84,NA,NA,29090.48,NA,55552.596679,55967.38,NA,NA,23616.66,NA,NA,35202.41,NA,30464983.585404,30896561.05,NA,56511.905076,57040.31,NA,959.308397,1072.93,NA,1426.671675,1419.89,NA,22477.447529,24518.48,NA,NA,16499.42,NA,NA,25488.59,NA,8989.17,NA,NA,NA,15811.18,NA,NA,25936.37,NA,78030.044208,80485.86,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2010,NA,22239.53,NA,NA,18396.3,NA,NA,30782.65,NA,58655.256164,59785.82,NA,NA,25865.9,NA,NA,39503.98,NA,31379169.245259,32082730.73,NA,60651.788279,62045.88,NA,1996.532115,2260.06,NA,1549.06623,1579.58,NA,23888.263558,25832.16,NA,NA,18711.29,NA,NA,29675.86,NA,10964.57,NA,NA,NA,16680.72,NA,NA,28221.51,NA,82543.519722,85617.98,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2011,NA,22343.19,NA,NA,20632.38,NA,NA,32149.96,NA,58618.554889,62515.79,NA,NA,27384.42,NA,NA,38922.16,NA,31889837.29465,34121137.35,NA,61793.735601,66009.48,NA,3175.180712,3493.69,NA,2047.328525,2258.11,NA,23376.714013,26749.95,NA,NA,19117.7,NA,NA,28462.31,NA,9344.61,NA,NA,NA,18076.26,NA,NA,28417.77,NA,81995.268902,89265.74,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2012,NA,23706.9,NA,NA,20630.62,NA,NA,32713.65,NA,56164.566573,59287.54,NA,NA,25627.33,NA,NA,38298.75,NA,33130098.084885,35035739.46,NA,58273.021613,61659.89,NA,2108.45504,2372.35,NA,1868.50084,1973.34,NA,24260.864663,26843.6,NA,NA,19598.93,NA,NA,28626.35,NA,9027.42,NA,NA,NA,18291.96,NA,NA,29045.17,NA,80425.431236,86131.14,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2013,NA,25408.65,NA,NA,22245.43,NA,NA,34539.9,NA,59486.02088,62779.55,NA,NA,28756.87,NA,NA,42395.68,NA,33805974.702691,35228610.42,NA,62477.668086,66034.97,NA,2991.647206,3255.42,NA,2082.150714,2234.03,NA,25848.449966,28516.64,NA,NA,19785.06,NA,NA,30408.01,NA,10622.95,NA,NA,NA,19603,NA,NA,30781.87,NA,85334.470846,91296.19,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2014,NA,25040.32,NA,NA,22438.88,NA,NA,35825.86,NA,62608.340524,67079.93,NA,NA,26309.67,NA,NA,40752.88,NA,34447820.974985,36100907.22,NA,63081.662886,67622.09,NA,473.322362,542.16,NA,2911.725801,3180.97,NA,26601.118312,29655.66,NA,NA,19013.77,NA,NA,29398.66,NA,10384.89,NA,NA,NA,19534.98,NA,NA,31183.5,NA,89209.458836,96735.59,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2015,NA,23429.44,NA,NA,21670.88,NA,NA,32796.01,NA,68263.112474,68309.34,NA,NA,26499.85,NA,NA,38229.45,NA,35410663.348794,34911289.79,NA,68567.558083,68609.77,NA,304.445609,300.43,NA,6176.743496,6170.76,NA,25132.575796,25391.36,NA,NA,19258.9,NA,NA,27790.34,NA,8531.44,NA,NA,NA,19165.96,NA,NA,28990.71,NA,93395.68827,93700.7,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2016,NA,25241.58,NA,NA,22100.26,NA,NA,35209.61,NA,77209.8,77209.8,NA,NA,28542.18,NA,NA,42028.11,NA,35590864.031024,35590864.031024,NA,77459.12,77459.12,NA,249.32,249.32,NA,11383.4,11383.4,NA,28797.3,28797.3,NA,NA,19068.08,NA,NA,29354.68,NA,10286.6,NA,NA,NA,19174.23,NA,NA,30292.44,NA,106007.1,106007.1,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,80254.638414,81244.26,NA,NA,NA,NA,NA,NA,NA,36527844.500038,36942623.238167,NA,80543.422448,81538.81,NA,288.784034,294.55,NA,0,0,NA,28979.191001,29193.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109233.829415,110437.73,NA
"Germany","Donor","DAC","EU","2018-04-10",2007,2420.11685957251,2631.71,1922.464155,1528.66716241705,1662.32,1214.32476,3449.3776045165,3750.96,2740.07628,4709.862224,5121.65,3741.365325,1502.41262208366,1633.77,1193.468985,3559.19607059754,3870.38,2827.31259,3080926.00196,3350294.32,2447390.00076,7310.634231,7949.81,5807.336205,2600.772007,2828.16,2065.97088,12.984732,14.12,10.31466,3991.876413,4340.89,3171.020145,1087.07590959409,1182.12,863.53866,2713.5515802374,2950.8,1626.47567064331,1768.68,1292.02074,2155.5594,1135.99855567943,1235.32,902.40126,2812.76707433792,3058.69,2234.373045,8701.738637,9462.54,6912.38547
"Germany","Donor","DAC","EU","2018-04-10",2008,2577.81284218987,2978.22,2064.799926,1690.17766151345,1952.71,1353.813843,3733.19876814469,4313.07,2990.251431,5624.739116,6498.42,4505.354586,1757.78615286179,2030.82,1407.967506,3857.82135916164,4457.05,3090.072765,3161016.897146,3652012.12,2531940.002796,7844.246862,9062.68,6283.156044,2219.507746,2564.26,1777.801458,63.514417,73.38,50.874354,4256.954679,4918.18,3409.774194,1274.98829869215,1473.03,1021.251699,2993.44363799782,3458.41,1718.45533930567,1985.38,1376.463954,2397.715653,1315.73862224458,1520.11,1053.892263,3161.88927237627,3653.02,2532.638766,9881.693795,11416.6,7915.12878
"Germany","Donor","DAC","EU","2018-04-10",2009,2484.36780385607,2819.85,2024.934285,1761.53690115001,1999.41,1435.776321,3750.5817541378,4257.05,3056.987605,6177.242201,7011.4,5034.88634,1930.1392972434,2190.78,1573.199118,3905.11412741877,4432.45,3182.942345,2998453.20495,3403356.08,2443950.001048,6252.235334,7096.52,5096.011012,74.993133,85.12,61.124672,61.328384,69.61,49.986941,4389.838307,4982.63,3578.026603,1425.08979334763,1617.53,1161.548293,2966.14053864076,3366.68,1541.05074529313,1749.15,1256.064615,2417.612908,1335.95615477958,1516.36,1088.898116,3098.89389101235,3517.36,2525.816216,10567.080508,11994.03,8612.912943
"Germany","Donor","DAC","EU","2018-04-10",2010,2706.6419408055,2944.01,2222.72755,1686.93827953886,1834.88,1385.3344,3759.54414436055,4089.25,3087.38375,7265.488568,7902.66,5966.5083,2193.09882943865,2385.43,1800.99965,4351.68441386187,4733.32,3573.6566,3087240.795325,3357986.75,2535279.99625,7387.645597,8035.53,6066.82515,122.157029,132.87,100.31685,74.662244,81.21,61.31355,4550.737762,4949.83,3737.12165,1622.50865218989,1764.8,1332.424,3349.01672569421,3642.72,1726.50807350433,1877.92,1417.8296,2750.2536,1354.99882528163,1473.83,1112.74165,3224.3038411353,3507.07,2647.83785,11816.22633,12852.49,9703.62995
"Germany","Donor","DAC","EU","2018-04-10",2011,2565.81428640445,2961.42,2129.853264,2014.42873087103,2325.02,1672.154384,4013.53060681216,4632.35,3331.58612,7329.927578,8460.08,6084.489536,2239.47097504804,2584.76,1858.959392,4115.34285796039,4749.86,3416.099312,3156807.484565,3643534.48,2620429.998016,7569.21366,8736.26,6283.118192,239.286082,276.18,198.628656,74.580875,86.08,61.908736,4641.099902,5356.68,3852.524256,1573.01704171702,1815.55,1305.74356,3072.96076829624,3546.76,1499.94372657923,1731.21,1245.086232,2550.829792,1529.26315963902,1765.05,1269.42396,3263.88364858748,3767.12,2709.312704,11971.02748,13816.76,9937.013792
